order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
1000,220,220,100,201,101,0.4975,77,165,88,0.4667,0,0,0,N/A,1,4,3,0.25,167,0,167,N/A,69,135,66,0.5111
1001,200,200,84,203,119,0.4138,66,176,110,0.375,0,0,0,N/A,0,0,0,N/A,191,0,191,N/A,60,132,72,0.4545
1002,220,220,448,751,303,0.5965,354,639,285,0.554,0,0,0,N/A,16,17,1,0.9412,1088,0,1088,N/A,759,1422,663,0.5338
1003,220,220,107,216,109,0.4954,73,157,84,0.465,0,0,0,N/A,2,6,4,0.3333,164,0,164,N/A,56,111,55,0.5045
1004,268,200,114,613,499,0.186,61,431,370,0.1415,0,0,0,N/A,7,13,6,0.5385,451,0,451,N/A,189,1392,1203,0.1358
1005,200,200,123,208,85,0.5913,108,186,78,0.5806,0,0,0,N/A,0,0,0,N/A,127,0,127,N/A,79,121,42,0.6529
1006,220,220,125,223,98,0.5605,104,198,94,0.5253,0,0,0,N/A,1,1,0,1.0,146,0,146,N/A,71,119,48,0.5966
1007,200,200,124,173,49,0.7168,107,153,46,0.6993,0,0,0,N/A,0,0,0,N/A,88,0,88,N/A,88,127,39,0.6929
1008,220,220,122,215,93,0.5674,84,153,69,0.549,0,0,0,N/A,1,2,1,0.5,140,0,140,N/A,73,120,47,0.6083
1009,220,220,68,127,59,0.5354,57,114,57,0.5,0,0,0,N/A,1,1,0,1.0,132,0,132,N/A,106,179,73,0.5922
1010,266,266,66,297,231,0.2222,23,177,154,0.1299,0,0,0,N/A,5,10,5,0.5,451,0,451,N/A,210,1608,1398,0.1306
1011,220,220,126,270,144,0.4667,89,197,108,0.4518,0,0,0,N/A,2,6,4,0.3333,179,0,179,N/A,39,74,35,0.527
1012,200,200,165,280,115,0.5893,147,251,104,0.5857,0,0,0,N/A,0,0,0,N/A,155,0,155,N/A,56,96,40,0.5833
1013,220,220,145,237,92,0.6118,104,169,65,0.6154,0,0,0,N/A,1,1,0,1.0,149,0,149,N/A,70,127,57,0.5512
1014,220,220,138,225,87,0.6133,122,203,81,0.601,0,0,0,N/A,2,4,2,0.5,110,0,110,N/A,60,83,23,0.7229
1015,220,220,148,213,65,0.6948,127,186,59,0.6828,0,0,0,N/A,1,1,0,1.0,96,0,96,N/A,78,109,31,0.7156
1016,200,200,109,191,82,0.5707,90,159,69,0.566,0,0,0,N/A,0,0,0,N/A,158,0,158,N/A,81,157,76,0.5159
1017,220,220,118,194,76,0.6082,100,169,69,0.5917,0,0,0,N/A,2,4,2,0.5,114,0,114,N/A,69,107,38,0.6449
1018,200,200,83,139,56,0.5971,72,128,56,0.5625,0,0,0,N/A,0,0,0,N/A,130,0,130,N/A,112,186,74,0.6022
1019,220,220,340,665,325,0.5113,292,594,302,0.4916,0,0,0,N/A,8,13,5,0.6154,424,0,424,N/A,278,538,260,0.5167
1020,220,220,128,257,129,0.4981,88,188,100,0.4681,0,0,0,N/A,2,5,3,0.4,165,0,165,N/A,43,79,36,0.5443
1021,220,220,139,259,120,0.5367,97,192,95,0.5052,0,0,0,N/A,1,1,0,1.0,174,0,174,N/A,58,112,54,0.5179
1022,260,220,1291,10886,9595,0.1186,1068,9693,8625,0.1102,0,0,0,N/A,48,315,267,0.1524,2486,0,2486,N/A,1639,18778,17139,0.0873
1023,200,200,380,362,18,1.0497,284,237,47,1.1983,0,0,0,N/A,10,0,10,N/A,537,0,537,N/A,194,72,122,2.6944
1024,200,200,551,364,187,1.5137,368,236,132,1.5593,0,0,0,N/A,23,3,20,7.6667,2890,0,2890,N/A,2083,968,1115,2.1519
1025,220,220,125,234,109,0.5342,86,168,82,0.5119,0,0,0,N/A,2,3,1,0.6667,158,0,158,N/A,98,140,42,0.7
1026,220,220,140,250,110,0.56,99,183,84,0.541,0,0,0,N/A,2,4,2,0.5,143,0,143,N/A,46,79,33,0.5823
1027,200,200,181,233,52,0.7768,144,210,66,0.6857,0,0,0,N/A,6,4,2,1.5,347,0,347,N/A,332,371,39,0.8949
1028,255,220,638,3036,2398,0.2101,500,2628,2128,0.1903,0,0,0,N/A,27,83,56,0.3253,1985,0,1985,N/A,1183,7131,5948,0.1659
1029,220,220,113,193,80,0.5855,97,171,74,0.5673,0,0,0,N/A,0,0,0,N/A,144,0,144,N/A,73,137,64,0.5328
1030,220,220,130,217,87,0.5991,110,192,82,0.5729,0,0,0,N/A,1,1,0,1.0,129,0,129,N/A,79,121,42,0.6529
1031,220,220,143,247,104,0.5789,117,213,96,0.5493,0,0,0,N/A,1,1,0,1.0,145,0,145,N/A,55,96,41,0.5729
1032,220,220,117,210,93,0.5571,78,139,61,0.5612,0,0,0,N/A,2,4,2,0.5,134,0,134,N/A,67,108,41,0.6204
1033,210,210,462,4669,4207,0.099,345,4152,3807,0.0831,0,0,0,N/A,18,123,105,0.1463,1011,0,1011,N/A,434,6232,5798,0.0696
1034,220,220,104,187,83,0.5561,90,173,83,0.5202,0,0,0,N/A,1,1,0,1.0,150,0,150,N/A,80,147,67,0.5442
1035,220,220,129,238,109,0.542,110,208,98,0.5288,0,0,0,N/A,2,4,2,0.5,148,0,148,N/A,59,98,39,0.602
1036,200,200,556,257,299,2.1634,479,226,253,2.1195,0,0,0,N/A,17,0,17,N/A,711,0,711,N/A,272,226,46,1.2035
1037,220,220,147,289,142,0.5087,106,211,105,0.5024,0,0,0,N/A,2,5,3,0.4,171,0,171,N/A,36,65,29,0.5538
1038,220,220,92,190,98,0.4842,63,135,72,0.4667,0,0,0,N/A,0,0,0,N/A,152,0,152,N/A,58,112,54,0.5179
1039,220,220,81,154,73,0.526,55,106,51,0.5189,0,0,0,N/A,0,0,0,N/A,157,0,157,N/A,64,148,84,0.4324
1040,200,200,251,255,4,0.9843,184,188,4,0.9787,0,0,0,N/A,9,2,7,4.5,434,0,434,N/A,324,132,192,2.4545
1041,220,220,131,217,86,0.6037,115,198,83,0.5808,0,0,0,N/A,0,0,0,N/A,126,0,126,N/A,74,114,40,0.6491
1042,220,220,133,237,104,0.5612,95,178,83,0.5337,0,0,0,N/A,1,2,1,0.5,137,0,137,N/A,40,73,33,0.5479
1043,220,220,136,233,97,0.5837,121,212,91,0.5708,0,0,0,N/A,0,0,0,N/A,134,0,134,N/A,79,116,37,0.681
1044,220,220,136,233,97,0.5837,93,163,70,0.5706,0,0,0,N/A,1,1,0,1.0,125,0,125,N/A,61,89,28,0.6854
1045,220,220,79,161,82,0.4907,61,136,75,0.4485,0,0,0,N/A,0,0,0,N/A,163,0,163,N/A,84,165,81,0.5091
1046,220,220,114,240,126,0.475,75,168,93,0.4464,0,0,0,N/A,2,5,3,0.4,177,0,177,N/A,55,106,51,0.5189
1047,220,220,112,236,124,0.4746,91,208,117,0.4375,0,0,0,N/A,1,1,0,1.0,198,0,198,N/A,63,137,74,0.4599
1048,200,200,139,242,103,0.5744,122,218,96,0.5596,0,0,0,N/A,0,0,0,N/A,141,0,141,N/A,47,85,38,0.5529
1049,260,255,453,3592,3139,0.1261,292,2694,2402,0.1084,0,0,0,N/A,26,143,117,0.1818,1946,0,1946,N/A,1857,21702,19845,0.0856
1050,200,200,158,276,118,0.5725,112,209,97,0.5359,0,0,0,N/A,0,0,0,N/A,143,0,143,N/A,33,58,25,0.569
1051,200,200,190,478,288,0.3975,122,334,212,0.3653,0,0,0,N/A,2,6,4,0.3333,375,0,375,N/A,129,384,255,0.3359
1052,220,220,139,254,115,0.5472,93,181,88,0.5138,0,0,0,N/A,2,4,2,0.5,156,0,156,N/A,54,95,41,0.5684
1053,266,220,221,1249,1028,0.1769,154,981,827,0.157,0,0,0,N/A,17,31,14,0.5484,670,0,670,N/A,180,1358,1178,0.1325
1054,220,220,147,242,95,0.6074,128,215,87,0.5953,0,0,0,N/A,2,4,2,0.5,131,0,131,N/A,48,84,36,0.5714
1055,220,220,94,173,79,0.5434,82,152,70,0.5395,0,0,0,N/A,0,0,0,N/A,135,0,135,N/A,90,146,56,0.6164
1056,200,200,64,110,46,0.5818,54,99,45,0.5455,0,0,0,N/A,0,0,0,N/A,118,0,118,N/A,114,186,72,0.6129
1057,210,200,459,352,107,1.304,376,302,74,1.245,0,0,0,N/A,17,5,12,3.4,1255,0,1255,N/A,662,569,93,1.1634
1058,220,220,380,775,395,0.4903,256,566,310,0.4523,0,0,0,N/A,9,13,4,0.6923,510,0,510,N/A,135,252,117,0.5357
1059,200,200,182,258,76,0.7054,138,198,60,0.697,0,0,0,N/A,0,0,0,N/A,96,0,96,N/A,47,67,20,0.7015
1060,268,268,462,8399,7937,0.055,321,7659,7338,0.0419,0,0,0,N/A,40,265,225,0.1509,1668,0,1668,N/A,357,6910,6553,0.0517
1061,220,220,130,242,112,0.5372,91,179,88,0.5084,0,0,0,N/A,2,4,2,0.5,157,0,157,N/A,57,102,45,0.5588
1062,135,135,128,321,193,0.3988,70,187,117,0.3743,0,0,0,N/A,0,0,0,N/A,285,0,285,N/A,62,144,82,0.4306
1063,200,200,203,383,180,0.53,127,249,122,0.51,0,0,0,N/A,3,4,1,0.75,364,0,364,N/A,159,329,170,0.4833
1064,220,220,337,551,214,0.6116,285,502,217,0.5677,0,0,0,N/A,7,8,1,0.875,632,0,632,N/A,471,657,186,0.7169
1065,220,220,121,217,96,0.5576,85,157,72,0.5414,0,0,0,N/A,1,1,0,1.0,134,0,134,N/A,59,97,38,0.6082
1066,220,220,153,247,94,0.6194,135,221,86,0.6109,0,0,0,N/A,1,1,0,1.0,123,0,123,N/A,62,91,29,0.6813
1067,200,200,228,807,579,0.2825,159,647,488,0.2457,0,0,0,N/A,6,10,4,0.6,779,0,779,N/A,144,472,328,0.3051
1068,135,135,130,203,73,0.6404,105,173,68,0.6069,0,0,0,N/A,1,1,0,1.0,144,0,144,N/A,134,237,103,0.5654
1069,220,220,77,186,109,0.414,60,156,96,0.3846,0,0,0,N/A,2,6,4,0.3333,180,0,180,N/A,61,132,71,0.4621
1070,220,220,128,248,120,0.5161,109,219,110,0.4977,0,0,0,N/A,2,5,3,0.4,154,0,154,N/A,50,84,34,0.5952
1071,220,220,124,249,125,0.498,91,188,97,0.484,0,0,0,N/A,1,3,2,0.3333,167,0,167,N/A,56,98,42,0.5714
1072,200,200,133,195,62,0.6821,89,136,47,0.6544,0,0,0,N/A,0,0,0,N/A,97,0,97,N/A,70,105,35,0.6667
1073,200,200,113,239,126,0.4728,98,215,117,0.4558,0,0,0,N/A,0,0,0,N/A,185,0,185,N/A,46,105,59,0.4381
1074,200,200,268,320,52,0.8375,180,199,19,0.9045,0,0,0,N/A,11,1,10,11.0,685,0,685,N/A,239,260,21,0.9192
1075,220,220,966,1762,796,0.5482,834,1618,784,0.5155,0,0,0,N/A,39,38,1,1.0263,1803,0,1803,N/A,484,847,363,0.5714
1076,220,220,116,211,95,0.5498,75,148,73,0.5068,0,0,0,N/A,1,2,1,0.5,140,0,140,N/A,68,113,45,0.6018
1077,200,200,139,223,84,0.6233,95,158,63,0.6013,0,0,0,N/A,0,0,0,N/A,116,0,116,N/A,61,93,32,0.6559
1078,220,220,111,205,94,0.5415,76,140,64,0.5429,0,0,0,N/A,1,1,0,1.0,156,0,156,N/A,66,128,62,0.5156
1079,210,200,700,213,487,3.2864,587,187,400,3.139,0,0,0,N/A,27,1,26,27.0,1617,0,1617,N/A,952,431,521,2.2088
1080,220,220,142,230,88,0.6174,118,196,78,0.602,0,0,0,N/A,2,4,2,0.5,116,0,116,N/A,58,86,28,0.6744
1081,200,200,116,173,57,0.6705,72,113,41,0.6372,0,0,0,N/A,0,0,0,N/A,101,0,101,N/A,89,133,44,0.6692
1082,220,220,111,186,75,0.5968,81,141,60,0.5745,0,0,0,N/A,1,1,0,1.0,141,0,141,N/A,67,133,66,0.5038
1083,200,200,103,192,89,0.5365,71,119,48,0.5966,0,0,0,N/A,0,0,0,N/A,173,0,173,N/A,86,170,84,0.5059
1084,220,220,110,181,71,0.6077,93,158,65,0.5886,0,0,0,N/A,1,2,1,0.5,114,0,114,N/A,77,120,43,0.6417
1085,220,220,122,226,104,0.5398,83,162,79,0.5123,0,0,0,N/A,1,1,0,1.0,150,0,150,N/A,57,103,46,0.5534
1086,220,220,127,262,135,0.4847,87,195,108,0.4462,0,0,0,N/A,1,3,2,0.3333,172,0,172,N/A,48,85,37,0.5647
1087,220,220,136,238,102,0.5714,92,175,83,0.5257,0,0,0,N/A,1,1,0,1.0,144,0,144,N/A,58,100,42,0.58
1088,220,220,374,762,388,0.4908,250,555,305,0.4505,0,0,0,N/A,9,12,3,0.75,533,0,533,N/A,119,232,113,0.5129
1089,220,220,123,230,107,0.5348,87,167,80,0.521,0,0,0,N/A,1,2,1,0.5,152,0,152,N/A,63,108,45,0.5833
1090,220,220,119,190,71,0.6263,77,131,54,0.5878,0,0,0,N/A,1,1,0,1.0,115,0,115,N/A,71,115,44,0.6174
1091,220,220,109,192,83,0.5677,93,167,74,0.5569,0,0,0,N/A,1,2,1,0.5,132,0,132,N/A,78,127,49,0.6142
1092,200,200,150,221,71,0.6787,131,197,66,0.665,0,0,0,N/A,0,0,0,N/A,105,0,105,N/A,73,107,34,0.6822
1093,220,220,146,286,140,0.5105,108,218,110,0.4954,0,0,0,N/A,2,5,3,0.4,169,0,169,N/A,42,71,29,0.5915
1094,220,220,345,563,218,0.6128,285,480,195,0.5938,0,0,0,N/A,12,15,3,0.8,890,0,890,N/A,511,859,348,0.5949
1095,220,220,126,190,64,0.6632,86,124,38,0.6935,0,0,0,N/A,1,1,0,1.0,110,0,110,N/A,102,148,46,0.6892
1096,220,220,125,245,120,0.5102,85,176,91,0.483,0,0,0,N/A,2,6,4,0.3333,163,0,163,N/A,39,82,43,0.4756
1097,200,200,124,196,72,0.6327,107,171,64,0.6257,0,0,0,N/A,0,0,0,N/A,116,0,116,N/A,74,118,44,0.6271
1098,220,220,120,261,141,0.4598,82,191,109,0.4293,0,0,0,N/A,2,5,3,0.4,189,0,189,N/A,43,91,48,0.4725
1099,220,220,100,209,109,0.4785,64,136,72,0.4706,0,0,0,N/A,1,2,1,0.5,172,0,172,N/A,82,145,63,0.5655
