order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
2064,280,260,5201,75793,70592,0.0686,3784,65783,61999,0.0575,0,0,0,N/A,39,783,744,0.0498,36574,0,36574,N/A,23209,369783,346574,0.0628
2065,270,268,350,1857,1507,0.1885,220,1392,1172,0.158,0,0,0,N/A,16,52,36,0.3077,1966,0,1966,N/A,1154,11225,10071,0.1028
2066,280,280,17049,1210673,1193624,0.0141,13032,1049302,1036270,0.0124,0,0,0,N/A,327,19938,19611,0.0164,101801,0,101801,N/A,65260,5878520,5813260,0.0111
2067,220,220,7077,6147,930,1.1513,5878,5468,410,1.075,0,0,0,N/A,141,107,34,1.3178,31945,0,31945,N/A,33464,32702,762,1.0233
2068,263,263,81192,932790,851598,0.087,60765,806482,745717,0.0753,0,0,0,N/A,1702,15918,14216,0.1069,410877,0,410877,N/A,425601,4442005,4016404,0.0958
2069,310,300,89311,63819,25492,1.3994,76312,58133,18179,1.3127,0,0,0,N/A,1323,708,615,1.8686,338971,0,338971,N/A,187351,204459,17108,0.9163

2071,266,263,4105,71371,67266,0.0575,3549,67514,63965,0.0526,0,0,0,N/A,104,1675,1571,0.0621,10535,0,10535,N/A,5047,19467,14420,0.2593
2072,263,255,47533,2151474,2103941,0.0221,42358,2049652,2007294,0.0207,0,0,0,N/A,864,26916,26052,0.0321,132285,0,132285,N/A,63743,1924994,1861251,0.0331
2073,310,300,2809,11965,9156,0.2348,2457,11142,8685,0.2205,0,0,0,N/A,83,307,224,0.2704,7021,0,7021,N/A,1578,8983,7405,0.1757
2074,220,220,281,569,288,0.4938,239,507,268,0.4714,0,0,0,N/A,1,1,0,1.0,728,0,728,N/A,356,796,440,0.4472
2075,310,310,5183,42783,37600,0.1211,4405,39608,35203,0.1112,0,0,0,N/A,88,534,446,0.1648,19981,0,19981,N/A,8063,81444,73381,0.099
