order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
2100,280,280,1977,35597,33620,0.0555,1601,32548,30947,0.0492,0,0,0,N/A,46,577,531,0.0797,8417,0,8417,N/A,3446,79315,75869,0.0434
2101,300,280,26523,1177611,1151088,0.0225,22692,1077499,1054807,0.0211,0,0,0,N/A,516,17731,17215,0.0291,67691,0,67691,N/A,54626,2686961,2632335,0.0203
2102,300,268,1085,7451,6366,0.1456,883,6719,5836,0.1314,0,0,0,N/A,32,108,76,0.2963,3316,0,3316,N/A,788,5335,4547,0.1477
2103,310,280,112762,1716034,1603272,0.0657,98424,1583690,1485266,0.0621,0,0,0,N/A,1814,29221,27407,0.0621,306949,0,306949,N/A,192668,3507717,3315049,0.0549
2104,266,263,2710,13633,10923,0.1988,2294,11586,9292,0.198,0,0,0,N/A,82,483,401,0.1698,5392,0,5392,N/A,4799,43565,38766,0.1102
2105,260,215,1051,161863,160812,0.0065,911,150805,149894,0.006,0,0,0,N/A,39,2870,2831,0.0136,1972,0,1972,N/A,866,442841,441975,0.002
2106,300,300,2761,3948,1187,0.6993,2220,3405,1185,0.652,0,0,0,N/A,35,38,3,0.9211,15122,0,15122,N/A,5023,10107,5084,0.497
2107,300,300,6809,246515,239706,0.0276,5587,227607,222020,0.0245,0,0,0,N/A,185,4577,4392,0.0404,28470,0,28470,N/A,16095,421305,405210,0.0382
2108,400,380,11454,672274,660820,0.017,8132,574234,566102,0.0142,0,0,0,N/A,251,11691,11440,0.0215,64511,0,64511,N/A,43703,2864435,2820732,0.0153
2109,300,280,36979,3646113,3609134,0.0101,31244,3260373,3229129,0.0096,0,0,0,N/A,834,68434,67600,0.0122,86007,0,86007,N/A,90110,10204792,10114682,0.0088
