order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
1980,300,300,6406,97561,91155,0.0657,5264,89020,83756,0.0591,0,0,0,N/A,172,2043,1871,0.0842,23910,0,23910,N/A,13231,169228,155997,0.0782
1981,310,310,19896,1815915,1796019,0.011,17135,1698678,1681543,0.0101,0,0,0,N/A,694,36805,36111,0.0189,54952,0,54952,N/A,21227,1901394,1880167,0.0112
1982,263,260,4393,124293,119900,0.0353,3910,114804,110894,0.0341,0,0,0,N/A,136,3721,3585,0.0365,6196,0,6196,N/A,2766,102335,99569,0.027
1983,300,300,3377,160222,156845,0.0211,2665,145894,143229,0.0183,0,0,0,N/A,179,4582,4403,0.0391,14065,0,14065,N/A,7025,295856,288831,0.0237
1984,220,220,280,408,128,0.6863,250,377,127,0.6631,0,0,0,N/A,1,1,0,1.0,293,0,293,N/A,242,407,165,0.5946
1985,266,266,11800,1815851,1804051,0.0065,10296,1687714,1677418,0.0061,0,0,0,N/A,399,53149,52750,0.0075,24835,0,24835,N/A,11578,1581112,1569534,0.0073
1986,300,300,1159,3381,2222,0.3428,883,2868,1985,0.3079,0,0,0,N/A,19,36,17,0.5278,4887,0,4887,N/A,1392,9112,7720,0.1528
1987,263,263,5330,66510,61180,0.0801,3914,59578,55664,0.0657,0,0,0,N/A,64,852,788,0.0751,36428,0,36428,N/A,29755,242360,212605,0.1228
1988,220,220,792,1564,772,0.5064,665,1402,737,0.4743,0,0,0,N/A,3,3,0,1.0,2059,0,2059,N/A,1181,2482,1301,0.4758
1989,300,300,1720,40488,38768,0.0425,1019,28138,27119,0.0362,0,0,0,N/A,46,719,673,0.064,11645,0,11645,N/A,10395,399816,389421,0.026
