order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
1970,300,300,931,8401,7470,0.1108,720,7470,6750,0.0964,0,0,0,N/A,25,146,121,0.1712,4231,0,4231,N/A,1510,20537,19027,0.0735
1971,263,263,100769,11317585,11216816,0.0089,86898,10688704,10601806,0.0081,0,0,0,N/A,3513,186803,183290,0.0188,232444,0,232444,N/A,163227,10414124,10250897,0.0157
1972,246,246,6853,359194,352341,0.0191,5995,333023,327028,0.018,0,0,0,N/A,133,5274,5141,0.0252,13232,0,13232,N/A,7922,700836,692914,0.0113
1973,300,300,1870,53950,52080,0.0347,1506,49933,48427,0.0302,0,0,0,N/A,106,1612,1506,0.0658,5732,0,5732,N/A,1780,48122,46342,0.037
1974,310,310,987,13445,12458,0.0734,837,12797,11960,0.0654,0,0,0,N/A,28,212,184,0.1321,2733,0,2733,N/A,456,2441,1985,0.1868
1975,300,300,2610,173739,171129,0.015,2026,155853,153827,0.013,0,0,0,N/A,143,6915,6772,0.0207,11697,0,11697,N/A,4920,350552,345632,0.014
1976,260,230,11135,133068,121933,0.0837,9997,125840,115843,0.0794,0,0,0,N/A,328,2277,1949,0.144,19818,0,19818,N/A,6875,104671,97796,0.0657
1977,310,310,4129,191289,187160,0.0216,3032,166957,163925,0.0182,0,0,0,N/A,137,5807,5670,0.0236,26075,0,26075,N/A,15475,731416,715941,0.0212
1978,265,265,1738,29052,27314,0.0598,1327,23587,22260,0.0563,0,0,0,N/A,60,1215,1155,0.0494,7020,0,7020,N/A,5047,135578,130531,0.0372
1979,280,280,122540,8232594,8110054,0.0149,74895,6189815,6114920,0.0121,0,0,0,N/A,893,54519,53626,0.0164,1072007,0,1072007,N/A,1269956,97778692,96508736,0.013
