order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
2150,300,300,1622,21751,20129,0.0746,1284,19545,18261,0.0657,0,0,0,N/A,52,424,372,0.1226,6210,0,6210,N/A,2682,43602,40920,0.0615
2151,330,310,199649,384088,184439,0.5198,180539,367636,187097,0.4911,0,0,0,N/A,3572,2990,582,1.1946,520172,0,520172,N/A,148652,391295,242643,0.3799
2152,220,220,8914,7220,1694,1.2346,5613,4441,1172,1.2639,0,0,0,N/A,98,70,28,1.4,97268,0,97268,N/A,117232,186075,68843,0.63
2153,300,300,3806,127175,123369,0.0299,3007,111269,108262,0.027,0,0,0,N/A,69,1450,1381,0.0476,11555,0,11555,N/A,12416,444688,432272,0.0279
2154,260,255,24265,627754,603489,0.0387,21129,588742,567613,0.0359,0,0,0,N/A,503,14451,13948,0.0348,49935,0,49935,N/A,49890,513024,463134,0.0972
2155,300,300,382,1519,1137,0.2515,290,1309,1019,0.2215,0,0,0,N/A,9,15,6,0.6,1884,0,1884,N/A,453,2452,1999,0.1847
2156,300,280,74891,4015747,3940856,0.0186,64127,3723197,3659070,0.0172,0,0,0,N/A,1326,58603,57277,0.0226,212472,0,212472,N/A,165326,7450313,7284987,0.0222
2157,280,265,1884,107742,105858,0.0175,1378,96950,95572,0.0142,0,0,0,N/A,136,4395,4259,0.0309,10035,0,10035,N/A,4932,199716,194784,0.0247
2158,260,260,6160,718548,712388,0.0086,4401,556498,552097,0.0079,0,0,0,N/A,190,28527,28337,0.0067,46536,0,46536,N/A,32023,6337231,6305208,0.0051
2159,210,200,606,2482,1876,0.2442,446,2061,1615,0.2164,0,0,0,N/A,18,45,27,0.4,3922,0,3922,N/A,2805,16240,13435,0.1727
2160,310,310,37361,1719494,1682133,0.0217,29901,1558156,1528255,0.0192,0,0,0,N/A,890,23281,22391,0.0382,171684,0,171684,N/A,84593,4621170,4536577,0.0183
2161,260,260,1006,17372,16366,0.0579,870,16108,15238,0.054,0,0,0,N/A,40,484,444,0.0826,1806,0,1806,N/A,917,15348,14431,0.0597
2162,220,220,1997,76347,74350,0.0262,1606,64994,63388,0.0247,0,0,0,N/A,29,1390,1361,0.0209,13039,0,13039,N/A,10393,664700,654307,0.0156
2163,300,280,409,358114,357705,0.0011,323,293525,293202,0.0011,0,0,0,N/A,19,6469,6450,0.0029,2014,0,2014,N/A,712,3849272,3848560,0.0002
2164,265,265,49060,3740224,3691164,0.0131,37571,3411824,3374253,0.011,0,0,0,N/A,642,60360,59718,0.0106,221632,0,221632,N/A,264187,9896544,9632357,0.0267
2165,280,280,36074,2805072,2768998,0.0129,31827,2609967,2578140,0.0122,0,0,0,N/A,1229,62383,61154,0.0197,56051,0,56051,N/A,40780,3302155,3261375,0.0123
2166,266,266,2165,23053,20888,0.0939,1649,18241,16592,0.0904,0,0,0,N/A,48,966,918,0.0497,5912,0,5912,N/A,5777,104958,99181,0.055
2167,280,268,19470,449431,429961,0.0433,15157,392962,377805,0.0386,0,0,0,N/A,551,8921,8370,0.0618,91112,0,91112,N/A,65782,1822006,1756224,0.0361
2168,300,300,1032,27996,26964,0.0369,833,26284,25451,0.0317,0,0,0,N/A,42,534,492,0.0787,3733,0,3733,N/A,1052,21037,19985,0.05
2169,280,280,80434,3026445,2946011,0.0266,70204,2807148,2736944,0.025,0,0,0,N/A,3290,75647,72357,0.0435,143660,0,143660,N/A,104611,3848047,3743436,0.0272
2170,280,266,6091,110884,104793,0.0549,5463,105015,99552,0.052,0,0,0,N/A,176,2718,2542,0.0648,10829,0,10829,N/A,1823,24092,22269,0.0757
2171,260,260,13000,31830,18830,0.4084,10719,28250,17531,0.3794,0,0,0,N/A,454,815,361,0.5571,37633,0,37633,N/A,39512,101909,62397,0.3877
2172,280,280,163707,24060446,23896739,0.0068,141434,21957941,21816507,0.0064,0,0,0,N/A,6375,537221,530846,0.0119,326456,0,326456,N/A,234991,48089450,47854459,0.0049
2173,300,300,9700,668190,658490,0.0145,7285,537116,529831,0.0136,0,0,0,N/A,269,15167,14898,0.0177,31013,0,31013,N/A,40821,3841390,3800569,0.0106
2174,222,204,44825,1321722,1276897,0.0339,32212,1057649,1025437,0.0305,0,0,0,N/A,1012,23792,22780,0.0425,336090,0,336090,N/A,400212,15546878,15146666,0.0257
