order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,filt1_no_guarantee,filt1_with_guarantee,filt1_diff_abs,filt1_diff_factor,filt2_no_guarantee,filt2_with_guarantee,filt2_diff_abs,filt2_diff_factor,filt5_no_guarantee,filt5_with_guarantee,filt5_diff_abs,filt5_diff_factor
1300,220,220,172,282,110,0.6099,151,260,109,0.5808,0,0,0,,110,0,110,,221,221,0,1.0,221,221,0,
1301,266,263,1695,41618,39923,0.0407,1261,31926,30665,0.0395,63,2266,2203,0.0278,1056,0,1056,,10448,240916,230468,0.0434,10448,240916,0,
1302,255,220,4680,2880,1800,1.625,4095,2597,1498,1.5768,123,44,79,2.7955,6121,0,6121,,10994,6218,4776,1.7681,10994,6218,0,
1303,220,220,207,348,141,0.5948,184,317,133,0.5804,2,5,3,0.4,141,0,141,,138,138,0,1.0,138,138,0,
1304,220,220,211,358,147,0.5894,188,331,143,0.568,1,1,0,1.0,147,0,147,,168,168,0,1.0,168,168,0,
1305,220,220,189,303,114,0.6238,143,234,91,0.6111,1,1,0,1.0,114,0,114,,192,192,0,1.0,192,192,0,
1306,266,266,3033,84279,81246,0.036,2511,75244,72733,0.0334,103,2799,2696,0.0368,2674,0,2674,,8218,153998,145780,0.0534,8218,153998,0,
1307,263,263,5237,338498,333261,0.0155,4465,311851,307386,0.0143,218,10647,10429,0.0205,4780,0,4780,,7769,295431,287662,0.0263,7769,295431,0,
1308,200,200,169,245,76,0.6898,146,218,72,0.6697,0,0,0,,76,0,76,,219,219,0,1.0,219,219,0,
1309,200,200,155,245,90,0.6327,131,218,87,0.6009,0,0,0,,90,0,90,,227,227,0,1.0,227,227,0,
1310,220,220,308,593,285,0.5194,241,481,240,0.501,6,10,4,0.6,232,0,232,,376,629,253,0.5978,376,629,0,
1311,220,220,181,360,179,0.5028,160,332,172,0.4819,1,3,2,0.3333,179,0,179,,156,156,0,1.0,156,156,0,
1312,260,200,366,698,332,0.5244,284,549,265,0.5173,12,10,2,1.2,235,0,235,,1672,1474,198,1.1343,1672,1474,0,
1313,260,255,13651,129696,116045,0.1053,12247,121767,109520,0.1006,411,3196,2785,0.1286,12302,0,12302,,14792,77544,62752,0.1908,14792,77544,0,
1314,255,220,4033,6045,2012,0.6672,3623,5493,1870,0.6596,109,145,36,0.7517,3039,0,3039,,4577,6695,2118,0.6836,4577,6695,0,
1315,220,220,171,279,108,0.6129,129,214,85,0.6028,0,0,0,,108,0,108,,179,179,0,1.0,179,179,0,
1316,220,220,858,892,34,0.9619,712,798,86,0.8922,21,10,11,2.1,986,0,986,,2408,1162,1246,2.0723,2408,1162,0,
1317,220,220,136,228,92,0.5965,116,203,87,0.5714,0,0,0,,92,0,92,,196,196,0,1.0,196,196,0,
1318,220,220,1112,1341,229,0.8292,945,1145,200,0.8253,23,17,6,1.3529,776,0,776,,1990,1364,626,1.4589,1990,1364,0,
1319,220,220,598,679,81,0.8807,471,582,111,0.8093,11,13,2,0.8462,352,0,352,,3422,2331,1091,1.468,3422,2331,0,
1320,220,220,159,289,130,0.5502,136,260,124,0.5231,1,1,0,1.0,130,0,130,,197,197,0,1.0,197,197,0,
1321,200,200,212,307,95,0.6906,189,281,92,0.6726,0,0,0,,95,0,95,,201,201,0,1.0,201,201,0,
1322,220,220,156,270,114,0.5778,128,231,103,0.5541,1,1,0,1.0,114,0,114,,237,237,0,1.0,237,237,0,
1323,213,213,1224,23883,22659,0.0512,936,21870,20934,0.0428,42,611,569,0.0687,1353,0,1353,,1826,20500,18674,0.0891,1826,20500,0,
