order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,filt1_no_guarantee,filt1_with_guarantee,filt1_diff_abs,filt1_diff_factor,filt2_no_guarantee,filt2_with_guarantee,filt2_diff_abs,filt2_diff_factor,filt5_no_guarantee,filt5_with_guarantee,filt5_diff_abs,filt5_diff_factor
1600,268,266,851,7902,7051,0.1077,644,6917,6273,0.0931,27,241,214,0.112,735,0,735,,4370,14979,10609,0.2917,4370,14979,0,
1601,260,260,11005,153973,142968,0.0715,9628,135919,126291,0.0708,186,4891,4705,0.038,7527,0,7527,,35857,364364,328507,0.0984,35857,364364,0,
1602,260,260,7959,623473,615514,0.0128,7106,582542,575436,0.0122,261,16146,15885,0.0162,6452,0,6452,,9268,453562,444294,0.0204,9268,453562,0,
1603,255,220,1500,26085,24585,0.0575,1089,19629,18540,0.0555,31,804,773,0.0386,1240,0,1240,,13953,253819,239866,0.055,13953,253819,0,
1604,255,255,1614,11466,9852,0.1408,1387,10501,9114,0.1321,43,291,248,0.1478,2090,0,2090,,3285,16458,13173,0.1996,3285,16458,0,
1605,220,220,1913,1756,157,1.0894,1606,1516,90,1.0594,40,8,32,5.0,2417,0,2417,,5549,1807,3742,3.0708,5549,1807,0,
1606,200,200,514,1484,970,0.3464,412,1180,768,0.3492,5,24,19,0.2083,206,0,206,,2721,8041,5320,0.3384,2721,8041,0,
1607,266,263,754,12627,11873,0.0597,630,11385,10755,0.0553,26,377,351,0.069,721,0,721,,1766,18887,17121,0.0935,1766,18887,0,
1608,280,280,2768,48617,45849,0.0569,2363,45827,43464,0.0516,115,907,792,0.1268,3903,0,3903,,5076,35017,29941,0.145,5076,35017,0,
1609,263,263,316,1715,1399,0.1843,261,1581,1320,0.1651,9,23,14,0.3913,464,0,464,,840,2080,1240,0.4038,840,2080,0,
1610,300,300,687,6719,6032,0.1022,528,6027,5499,0.0876,26,117,91,0.2222,965,0,965,,2906,13239,10333,0.2195,2906,13239,0,
