order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,filt1_no_guarantee,filt1_with_guarantee,filt1_diff_abs,filt1_diff_factor,filt2_no_guarantee,filt2_with_guarantee,filt2_diff_abs,filt2_diff_factor,filt5_no_guarantee,filt5_with_guarantee,filt5_diff_abs,filt5_diff_factor
1236,260,210,533,7800,7267,0.0683,423,7128,6705,0.0593,30,188,158,0.1596,830,0,830,,869,5814,4945,0.1495,869,5814,0,
1237,200,200,176,307,131,0.5733,157,279,122,0.5627,0,0,0,,131,0,131,,175,175,0,1.0,175,175,0,
1238,220,220,120,226,106,0.531,88,164,76,0.5366,0,0,0,,106,0,106,,243,243,0,1.0,243,243,0,
1239,220,220,117,217,100,0.5392,96,188,92,0.5106,1,1,0,1.0,100,0,100,,215,215,0,1.0,215,215,0,
1240,300,300,416,5014,4598,0.083,301,4524,4223,0.0665,13,125,112,0.104,775,0,775,,1239,6510,5271,0.1903,1239,6510,0,
1241,200,200,151,273,122,0.5531,129,244,115,0.5287,0,0,0,,122,0,122,,164,164,0,1.0,164,164,0,
1242,220,220,121,269,148,0.4498,85,196,111,0.4337,2,6,4,0.3333,148,0,148,,175,175,0,1.0,175,175,0,
1243,220,220,1088,1770,682,0.6147,831,1348,517,0.6165,15,12,3,1.25,1328,0,1328,,929,626,303,1.484,929,626,0,
1244,220,220,152,247,95,0.6154,125,212,87,0.5896,1,1,0,1.0,95,0,95,,201,201,0,1.0,201,201,0,
1245,220,220,174,293,119,0.5939,152,262,110,0.5802,2,4,2,0.5,119,0,119,,160,160,0,1.0,160,160,0,
1246,220,220,383,879,496,0.4357,238,534,296,0.4457,11,11,0,1.0,518,0,518,,605,634,29,0.9543,605,634,0,
1247,220,220,161,269,108,0.5985,140,244,104,0.5738,1,2,1,0.5,108,0,108,,165,165,0,1.0,165,165,0,
1248,200,200,269,454,185,0.5925,230,407,177,0.5651,0,0,0,,193,0,193,,246,238,8,1.0336,246,238,0,
