order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,filt1_no_guarantee,filt1_with_guarantee,filt1_diff_abs,filt1_diff_factor,filt2_no_guarantee,filt2_with_guarantee,filt2_diff_abs,filt2_diff_factor,filt5_no_guarantee,filt5_with_guarantee,filt5_diff_abs,filt5_diff_factor
2200,380,380,52230,8552113,8499883,0.0061,46159,8197001,8150842,0.0056,1045,99505,98460,0.0105,65200,0,65200,,108414,4497622,4389208,0.0241,108414,4497622,0,
2201,280,270,5285,169222,163937,0.0312,4721,158563,153842,0.0298,113,3659,3546,0.0309,5839,0,5839,,8126,147882,139756,0.0549,8126,147882,0,
2202,268,266,789,8685,7896,0.0908,651,7756,7105,0.0839,22,227,205,0.0969,770,0,770,,2547,17025,14478,0.1496,2547,17025,0,
2203,222,220,25093,21803,3290,1.1509,20221,18104,2117,1.1169,461,374,87,1.2326,9871,0,9871,,173475,124260,49215,1.3961,173475,124260,0,
2204,268,266,164920,1155200,990280,0.1428,131561,935269,803708,0.1407,2418,24142,21724,0.1002,70645,0,70645,,1224170,8442777,7218607,0.145,1224170,8442777,0,
2205,260,260,8037,387230,379193,0.0208,7217,356873,349656,0.0202,205,10354,10149,0.0198,5676,0,5676,,14062,589713,575651,0.0238,14062,589713,0,
2206,280,280,32693,669158,636465,0.0489,22423,521970,499547,0.043,268,5242,4974,0.0511,19048,0,19048,,471681,6764773,6293092,0.0697,471681,6764773,0,
2207,330,310,2427582,39004988,36577406,0.0622,1902711,33576014,31673303,0.0567,20056,349984,329928,0.0573,1398221,0,1398221,,24015633,254290898,230275265,0.0944,24015633,254290898,0,
2209,350,350,162711,4062913,3900202,0.04,140041,3623674,3483633,0.0386,5720,133624,127904,0.0428,171021,0,171021,,583543,12490229,11906686,0.0467,583543,12490229,0,
2210,333,330,17117,1193192,1176075,0.0143,14116,1097818,1083702,0.0129,536,23817,23281,0.0225,25326,0,25326,,85717,2802657,2716940,0.0306,85717,2802657,0,
2211,390,375,296017,18819550,18523533,0.0157,231541,17011727,16780186,0.0136,4054,162373,158319,0.025,505993,0,505993,,2982454,82710047,79727593,0.0361,2982454,82710047,0,
2212,344,335,92562,8449259,8356697,0.011,81131,7912151,7831020,0.0103,2370,147223,144853,0.0161,112648,0,112648,,266003,12938522,12672519,0.0206,266003,12938522,0,
2213,375,350,1258631,105621620,104362989,0.0119,1130080,99679588,98549508,0.0113,26148,1480734,1454586,0.0177,1187719,0,1187719,,2506929,125878006,123371077,0.0199,2506929,125878006,0,
2214,300,300,57643,3128969,3071326,0.0184,48592,2789941,2741349,0.0174,1276,64801,63525,0.0197,43275,0,43275,,241218,8083238,7842020,0.0298,241218,8083238,0,
2215,260,255,16817,307022,290205,0.0548,14747,284697,269950,0.0518,338,7303,6965,0.0463,18232,0,18232,,57392,440043,382651,0.1304,57392,440043,0,
2216,266,266,3625,79120,75495,0.0458,3022,70901,67879,0.0426,119,2605,2486,0.0457,4043,0,4043,,10443,142678,132235,0.0732,10443,142678,0,
2217,255,246,2159,42048,39889,0.0513,1825,37861,36036,0.0482,33,731,698,0.0451,3034,0,3034,,8827,142782,133955,0.0618,8827,142782,0,
2218,293,280,938713,195251886,194313173,0.0048,818206,173991692,173173486,0.0047,13026,3476075,3463049,0.0037,381888,0,381888,,3993378,711204191,707210813,0.0056,3993378,711204191,0,
2219,310,310,11128,445886,434758,0.025,9454,410629,401175,0.023,247,9281,9034,0.0266,13523,0,13523,,45234,788808,743574,0.0573,45234,788808,0,
2220,260,260,1578,33333,31755,0.0473,1349,30424,29075,0.0443,55,901,846,0.061,1416,0,1416,,3559,61266,57707,0.0581,3559,61266,0,
2221,270,270,721,5050,4329,0.1428,531,3482,2951,0.1525,24,240,216,0.1,464,0,464,,4917,43649,38732,0.1126,4917,43649,0,
2222,266,266,15848,2580670,2564822,0.0061,14014,2425812,2411798,0.0058,444,65284,64840,0.0068,17892,0,17892,,31289,1703123,1671834,0.0184,31289,1703123,0,
2225,340,335,75000,7171319,7096319,0.0105,62886,6707177,6644291,0.0094,1905,98498,96593,0.0193,106719,0,106719,,296759,10200196,9903437,0.0291,296759,10200196,0,
2226,280,280,22870,6186475,6163605,0.0037,18353,5590878,5572525,0.0033,512,123040,122528,0.0042,14235,0,14235,,128747,14340663,14211916,0.009,128747,14340663,0,
2227,260,222,5371,266686,261315,0.0201,4110,204600,200490,0.0201,99,7295,7196,0.0136,4999,0,4999,,48248,2595380,2547132,0.0186,48248,2595380,0,
2228,260,260,338,2746,2408,0.1231,273,2502,2229,0.1091,11,63,52,0.1746,521,0,521,,1502,4825,3323,0.3113,1502,4825,0,
2229,246,246,566,3761,3195,0.1505,452,3402,2950,0.1329,10,27,17,0.3704,1649,0,1649,,3656,12573,8917,0.2908,3656,12573,0,
2230,265,260,21153,1438737,1417584,0.0147,17922,1309473,1291551,0.0137,385,39458,39073,0.0098,22481,0,22481,,91300,3065317,2974017,0.0298,91300,3065317,0,
2232,300,300,26629,1903293,1876664,0.014,21128,1642573,1621445,0.0129,486,28442,27956,0.0171,19834,0,19834,,191837,9660529,9468692,0.0199,191837,9660529,0,
2233,260,255,7642,83060,75418,0.092,5564,69049,63485,0.0806,232,1360,1128,0.1706,5411,0,5411,,65190,462420,397230,0.141,65190,462420,0,
2234,300,300,69644,2228565,2158921,0.0313,61479,2049660,1988181,0.03,1103,39964,38861,0.0276,66630,0,66630,,251810,5110175,4858365,0.0493,251810,5110175,0,
2235,310,300,1953174,7580379,5627205,0.2577,1749359,7109620,5360261,0.2461,36481,120761,84280,0.3021,1327876,0,1327876,,4739698,9158986,4419288,0.5175,4739698,9158986,0,
2236,310,310,8160,69943,61783,0.1167,7066,65093,58027,0.1086,207,1352,1145,0.1531,11573,0,11573,,20284,75773,55489,0.2677,20284,75773,0,
2237,265,265,19097,2519563,2500466,0.0076,13885,1904860,1890975,0.0073,301,36368,36067,0.0083,12829,0,12829,,208129,28120235,27912106,0.0074,208129,28120235,0,
2238,300,300,75008,99648,24640,0.7527,58573,89499,30926,0.6545,1117,2439,1322,0.458,63987,0,63987,,518931,229380,289551,2.2623,518931,229380,0,
2239,350,350,3514,101324,97810,0.0347,2730,93535,90805,0.0292,73,1042,969,0.0701,7170,0,7170,,18921,238493,219572,0.0793,18921,238493,0,
2240,335,300,3049628,221811966,218762338,0.0137,2676756,204877490,202200734,0.0131,47159,3233801,3186642,0.0146,2189074,0,2189074,,12212690,553842519,541629829,0.0221,12212690,553842519,0,
2241,260,260,35916,1580442,1544526,0.0227,27584,1333414,1305830,0.0207,359,54367,54008,0.0066,18474,0,18474,,368257,8579257,8211000,0.0429,368257,8579257,0,
2242,310,310,8241,29406,21165,0.2802,7331,27195,19864,0.2696,144,713,569,0.202,9857,0,9857,,19738,35593,15855,0.5545,19738,35593,0,
2243,310,310,16375,422222,405847,0.0388,14186,386942,372756,0.0367,370,7914,7544,0.0468,18827,0,18827,,51494,808814,757320,0.0637,51494,808814,0,
2244,300,300,9207,305541,296334,0.0301,7218,260648,253430,0.0277,277,5989,5712,0.0463,9386,0,9386,,50203,1251095,1200892,0.0401,50203,1251095,0,
2245,265,265,1377,14610,13233,0.0943,1125,12119,10994,0.0928,40,511,471,0.0783,1178,0,1178,,5516,60565,55049,0.0911,5516,60565,0,
2246,263,263,131316,1130612,999296,0.1161,114288,989894,875606,0.1155,4153,24598,20445,0.1688,80123,0,80123,,369506,4170166,3800660,0.0886,369506,4170166,0,
2247,300,300,32152,684150,651998,0.047,25167,538509,513342,0.0467,900,15942,15042,0.0565,18768,0,18768,,179854,4372819,4192965,0.0411,179854,4372819,0,
2250,310,310,760,2097,1337,0.3624,627,1856,1229,0.3378,11,16,5,0.6875,1208,0,1208,,1583,2570,987,0.616,1583,2570,0,
2251,375,375,1111001,396250208,395139207,0.0028,1013373,376724605,375711232,0.0027,24010,5723675,5699665,0.0042,1065336,0,1065336,,1565364,348740820,347175456,0.0045,1565364,348740820,0,
2252,310,310,869,5456,4587,0.1593,627,4645,4018,0.135,9,47,38,0.1915,1788,0,1788,,4931,16696,11765,0.2953,4931,16696,0,
2253,330,330,382182,97319694,96937512,0.0039,339724,91357256,91017532,0.0037,6997,1319380,1312383,0.0053,355988,0,355988,,1167240,157649721,156482481,0.0074,1167240,157649721,0,
2254,310,300,164386,1448766,1284380,0.1135,147120,1358560,1211440,0.1083,3731,23552,19821,0.1584,162754,0,162754,,308218,1780704,1472486,0.1731,308218,1780704,0,
2255,266,266,10457,84916,74459,0.1231,7765,65268,57503,0.119,114,1102,988,0.1034,7007,0,7007,,112856,885954,773098,0.1274,112856,885954,0,
2256,300,300,806893,799233,7660,1.0096,702091,682629,19462,1.0285,18340,14342,3998,1.2788,640892,0,640892,,2798744,3350956,552212,0.8352,2798744,3350956,0,
2257,310,300,1215073,6969899,5754826,0.1743,1012405,6133342,5120937,0.1651,18339,162858,144519,0.1126,606379,0,606379,,5820629,21117471,15296842,0.2756,5820629,21117471,0,
2258,310,300,259307,3708939,3449632,0.0699,214049,3225065,3011016,0.0664,3522,65603,62081,0.0537,164000,0,164000,,1453653,15165282,13711629,0.0959,1453653,15165282,0,
2259,263,263,37337,2220465,2183128,0.0168,30829,1981303,1950474,0.0156,1240,38489,37249,0.0322,28648,0,28648,,202503,8805316,8602813,0.023,202503,8805316,0,
2260,295,280,56519,424164,367645,0.1332,46768,382513,335745,0.1223,1561,8646,7085,0.1805,37572,0,37572,,255261,977597,722336,0.2611,255261,977597,0,
2261,263,260,5309,64129,58820,0.0828,4345,57404,53059,0.0757,86,896,810,0.096,5777,0,5777,,32614,237826,205212,0.1371,32614,237826,0,
2262,330,300,1397839,16665138,15267299,0.0839,1180102,15509748,14329646,0.0761,19635,199197,179562,0.0986,1304162,0,1304162,,8886698,36181463,27294765,0.2456,8886698,36181463,0,
2263,260,260,4105,122610,118505,0.0335,3367,108131,104764,0.0311,142,3915,3773,0.0363,3872,0,3872,,14101,384173,370072,0.0367,14101,384173,0,
2264,220,220,14180,9311,4869,1.5229,10330,7472,2858,1.3825,90,65,25,1.3846,8121,0,8121,,282511,121480,161031,2.3256,282511,121480,0,
