order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,filt1_no_guarantee,filt1_with_guarantee,filt1_diff_abs,filt1_diff_factor,filt2_no_guarantee,filt2_with_guarantee,filt2_diff_abs,filt2_diff_factor,filt5_no_guarantee,filt5_with_guarantee,filt5_diff_abs,filt5_diff_factor
1800,300,300,2105,52160,50055,0.0404,1850,48672,46822,0.038,41,778,737,0.0527,2360,0,2360,,3701,67301,63600,0.055,3701,67301,0,
1801,268,268,11730,714259,702529,0.0164,10441,673385,662944,0.0155,364,15167,14803,0.024,11574,0,11574,,15065,412649,397584,0.0365,15065,412649,0,
1802,266,263,18208,197609,179401,0.0921,13888,168709,154821,0.0823,303,6307,6004,0.048,13879,0,13879,,163674,826842,663168,0.198,163674,826842,0,
1803,280,280,10057,405998,395941,0.0248,8149,358451,350302,0.0227,297,10559,10262,0.0281,9826,0,9826,,44720,1161593,1116873,0.0385,44720,1161593,0,
1804,300,300,1040,19009,17969,0.0547,781,16355,15574,0.0478,23,265,242,0.0868,1435,0,1435,,6671,76803,70132,0.0869,6671,76803,0,
1805,310,310,756,3979,3223,0.19,517,3355,2838,0.1541,13,75,62,0.1733,1154,0,1154,,1892,4483,2591,0.422,1892,4483,0,
1806,300,300,1580,54069,52489,0.0292,1177,49165,47988,0.0239,105,2032,1927,0.0517,2238,0,2238,,7262,77501,70239,0.0937,7262,77501,0,
1807,222,213,1941,13861,11920,0.14,1439,11869,10430,0.1212,67,387,320,0.1731,1913,0,1913,,12542,48328,35786,0.2595,12542,48328,0,
1808,215,210,2047,33584,31537,0.061,1734,30532,28798,0.0568,59,943,884,0.0626,1584,0,1584,,6921,63376,56455,0.1092,6921,63376,0,
1809,310,300,6463,251744,245281,0.0257,5413,233782,228369,0.0232,173,3831,3658,0.0452,9627,0,9627,,19453,376439,356986,0.0517,19453,376439,0,
1810,263,263,6787,101739,94952,0.0667,5478,89755,84277,0.061,193,2078,1885,0.0929,3546,0,3546,,37483,334070,296587,0.1122,37483,334070,0,
1811,263,263,3531,73956,70425,0.0477,2899,64107,61208,0.0452,111,2937,2826,0.0378,2568,0,2568,,15598,193856,178258,0.0805,15598,193856,0,
1812,300,300,1064,11708,10644,0.0909,884,11011,10127,0.0803,26,139,113,0.1871,2003,0,2003,,2353,8220,5867,0.2863,2353,8220,0,
1813,210,210,429,4288,3859,0.1,304,2962,2658,0.1026,9,130,121,0.0692,465,0,465,,4614,53461,48847,0.0863,4614,53461,0,
1814,270,265,36714,364173,327459,0.1008,30394,317228,286834,0.0958,702,15767,15065,0.0445,26470,0,26470,,209412,919080,709668,0.2278,209412,919080,0,
1815,260,260,5335,308210,302875,0.0173,4272,248500,244228,0.0172,147,11340,11193,0.013,3478,0,3478,,37718,2199384,2161666,0.0171,37718,2199384,0,
1816,268,268,7434,476443,469009,0.0156,6081,400634,394553,0.0152,235,22560,22325,0.0104,6222,0,6222,,29737,1797682,1767945,0.0165,29737,1797682,0,
1817,265,263,13842,255370,241528,0.0542,12031,235845,223814,0.051,319,7760,7441,0.0411,10390,0,10390,,36800,228958,192158,0.1607,36800,228958,0,
1818,300,300,18309,2343919,2325610,0.0078,14872,2084589,2069717,0.0071,205,33240,33035,0.0062,23428,0,23428,,118460,9241114,9122654,0.0128,118460,9241114,0,
1819,270,270,1975,42078,40103,0.0469,1494,32356,30862,0.0462,63,2267,2204,0.0278,1408,0,1408,,10789,241486,230697,0.0447,10789,241486,0,
1820,266,263,2656,109176,106520,0.0243,2028,90292,88264,0.0225,122,5479,5357,0.0223,2161,0,2161,,12764,415864,403100,0.0307,12764,415864,0,
1821,220,220,1278,1902,624,0.6719,1005,1586,581,0.6337,17,20,3,0.85,870,0,870,,6597,7723,1126,0.8542,6597,7723,0,
1822,300,300,966,4263,3297,0.2266,741,3542,2801,0.2092,17,80,63,0.2125,1291,0,1291,,3174,11585,8411,0.274,3174,11585,0,
1823,300,300,605,3677,3072,0.1645,491,3299,2808,0.1488,17,86,69,0.1977,985,0,985,,1877,6787,4910,0.2766,1877,6787,0,
1824,0,0,608,8620,8012,0.0705,471,6918,6447,0.0681,13,293,280,0.0444,426,0,426,,4708,62190,57482,0.0757,4708,62190,0,
1825,260,260,3745,64376,60631,0.0582,3122,54745,51623,0.057,92,2383,2291,0.0386,2893,0,2893,,10391,203649,193258,0.051,10391,203649,0,
1826,268,268,2051,26399,24348,0.0777,1603,21124,19521,0.0759,75,1274,1199,0.0589,1676,0,1676,,9854,126337,116483,0.078,9854,126337,0,
1827,265,265,1968,48425,46457,0.0406,1635,43656,42021,0.0375,69,1443,1374,0.0478,2219,0,2219,,5119,85883,80764,0.0596,5119,85883,0,
1828,300,300,539,2522,1983,0.2137,388,1942,1554,0.1998,12,61,49,0.1967,716,0,716,,2364,11025,8661,0.2144,2364,11025,0,
1829,220,220,261,438,177,0.5959,208,344,136,0.6047,1,1,0,1.0,177,0,177,,396,396,0,1.0,396,396,0,
1830,220,220,199,372,173,0.5349,150,297,147,0.5051,0,0,0,,173,0,173,,360,360,0,1.0,360,360,0,
1831,220,220,579,972,393,0.5957,489,867,378,0.564,2,17,15,0.1176,596,0,596,,1571,1759,188,0.8931,1571,1759,0,
1832,300,300,2204,114585,112381,0.0192,1649,102548,100899,0.0161,143,4392,4249,0.0326,2639,0,2639,,12786,246719,233933,0.0518,12786,246719,0,
1833,300,300,6306,94657,88351,0.0666,5391,88886,83495,0.0607,151,1857,1706,0.0813,7443,0,7443,,23581,89172,65591,0.2644,23581,89172,0,
1834,300,300,1482,49528,48046,0.0299,1084,45221,44137,0.024,118,1739,1621,0.0679,2120,0,2120,,6818,65159,58341,0.1046,6818,65159,0,
1835,220,220,3324,13766,10442,0.2415,2667,11195,8528,0.2382,76,484,408,0.157,2133,0,2133,,13068,74422,61354,0.1756,13068,74422,0,
1836,260,260,700,12475,11775,0.0561,586,11698,11112,0.0501,35,300,265,0.1167,1169,0,1169,,1286,8135,6849,0.1581,1286,8135,0,
1837,310,300,12760,505642,492882,0.0252,10507,464151,453644,0.0226,460,12387,11927,0.0371,15432,0,15432,,53337,926190,872853,0.0576,53337,926190,0,
1838,222,220,7727,103624,95897,0.0746,5055,67641,62586,0.0747,52,952,900,0.0546,1712,0,1712,,96314,1359620,1263306,0.0708,96314,1359620,0,
1839,300,300,10656,409671,399015,0.026,8666,361333,352667,0.024,320,10873,10553,0.0294,10091,0,10091,,48698,1191125,1142427,0.0409,48698,1191125,0,
