order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,filt1_no_guarantee,filt1_with_guarantee,filt1_diff_abs,filt1_diff_factor,filt2_no_guarantee,filt2_with_guarantee,filt2_diff_abs,filt2_diff_factor,filt5_no_guarantee,filt5_with_guarantee,filt5_diff_abs,filt5_diff_factor
1700,265,263,2853,244728,241875,0.0117,2325,229211,226886,0.0101,208,7524,7316,0.0276,4171,0,4171,,7131,121511,114380,0.0587,7131,121511,0,
1701,220,220,569,916,347,0.6212,491,840,349,0.5845,11,16,5,0.6875,423,0,423,,1139,677,462,1.6824,1139,677,0,
1702,220,220,207,387,180,0.5349,185,360,175,0.5139,1,2,1,0.5,180,0,180,,429,429,0,1.0,429,429,0,
1703,220,220,2880,5205,2325,0.5533,2521,4678,2157,0.5389,43,82,39,0.5244,1794,0,1794,,5962,10019,4057,0.5951,5962,10019,0,
1704,270,270,4410,232739,228329,0.0189,3422,188270,184848,0.0182,181,12324,12143,0.0147,3254,0,3254,,22915,1055649,1032734,0.0217,22915,1055649,0,
1705,280,266,3380,16091,12711,0.2101,2932,15016,12084,0.1953,141,386,245,0.3653,3906,0,3906,,5284,10578,5294,0.4995,5284,10578,0,
1706,268,268,4303,48000,43697,0.0896,3638,43534,39896,0.0836,111,776,665,0.143,3179,0,3179,,12490,93682,81192,0.1333,12490,93682,0,
1707,220,220,135,258,123,0.5233,118,241,123,0.4896,0,0,0,,123,0,123,,474,474,0,1.0,474,474,0,
1708,213,200,1203,1133,70,1.0618,1064,1009,55,1.0545,32,10,22,3.2,993,0,993,,1724,1267,457,1.3607,1724,1267,0,
1709,220,220,735,1250,515,0.588,641,1146,505,0.5593,20,32,12,0.625,547,0,547,,1402,1756,354,0.7984,1402,1756,0,
1710,310,310,2848,140131,137283,0.0203,2477,133289,130812,0.0186,83,2373,2290,0.035,4340,0,4340,,4186,60925,56739,0.0687,4186,60925,0,
1711,260,255,25117,150944,125827,0.1664,21796,139988,118192,0.1557,849,3239,2390,0.2621,28715,0,28715,,67005,236832,169827,0.2829,67005,236832,0,
1712,220,220,219,347,128,0.6311,194,322,128,0.6025,0,0,0,,128,0,128,,425,425,0,1.0,425,425,0,
1713,268,268,3566,39428,35862,0.0904,2847,32708,29861,0.087,104,1535,1431,0.0678,2768,0,2768,,14705,157426,142721,0.0934,14705,157426,0,
1714,220,220,208,383,175,0.5431,183,350,167,0.5229,2,5,3,0.4,175,0,175,,345,345,0,1.0,345,345,0,
1715,265,265,533,2324,1791,0.2293,416,1855,1439,0.2243,11,61,50,0.1803,564,0,564,,1887,10266,8379,0.1838,1887,10266,0,
1716,255,255,6968,188401,181433,0.037,6103,174630,168527,0.0349,223,5354,5131,0.0417,7000,0,7000,,13426,181575,168149,0.0739,13426,181575,0,
1717,268,268,1538,24181,22643,0.0636,1087,17249,16162,0.063,47,1303,1256,0.0361,1023,0,1023,,10612,187121,176509,0.0567,10612,187121,0,
1718,260,260,752,10107,9355,0.0744,608,9058,8450,0.0671,38,308,270,0.1234,969,0,969,,2367,19256,16889,0.1229,2367,19256,0,
1719,266,263,10744,163795,153051,0.0656,9242,145149,135907,0.0637,385,6321,5936,0.0609,5806,0,5806,,22928,291999,269071,0.0785,22928,291999,0,
1720,265,265,3388,99426,96038,0.0341,2688,81950,79262,0.0328,90,3894,3804,0.0231,2934,0,2934,,16378,435252,418874,0.0376,16378,435252,0,
1721,268,268,1708,38043,36335,0.0449,1324,33409,32085,0.0396,69,1353,1284,0.051,1942,0,1942,,4510,83161,78651,0.0542,4510,83161,0,
1722,260,260,1720,36015,34295,0.0478,1435,30749,29314,0.0467,62,1394,1332,0.0445,1076,0,1076,,5063,109894,104831,0.0461,5063,109894,0,
1723,220,220,8415,7817,598,1.0765,6374,5221,1153,1.2208,92,143,51,0.6434,3377,0,3377,,63077,90356,27279,0.6981,63077,90356,0,
1724,260,220,21962,50182,28220,0.4376,19382,45508,26126,0.4259,594,1287,693,0.4615,12608,0,12608,,54992,90613,35621,0.6069,54992,90613,0,
1725,220,220,871,2096,1225,0.4156,691,1796,1105,0.3847,22,67,45,0.3284,752,0,752,,2934,4192,1258,0.6999,2934,4192,0,
1726,310,310,54722,650776,596054,0.0841,46270,593091,546821,0.078,2118,19432,17314,0.109,63836,0,63836,,195223,1273943,1078720,0.1532,195223,1273943,0,
1727,280,280,301,1153,852,0.2611,244,1040,796,0.2346,8,14,6,0.5714,709,0,709,,891,2000,1109,0.4455,891,2000,0,
1728,260,260,1056,16832,15776,0.0627,891,15368,14477,0.058,45,494,449,0.0911,922,0,922,,2592,22633,20041,0.1145,2592,22633,0,
1729,266,263,13225,124787,111562,0.106,11275,110738,99463,0.1018,404,4272,3868,0.0946,9552,0,9552,,45871,283145,237274,0.162,45871,283145,0,
1730,260,260,9858,626913,617055,0.0157,8177,545811,537634,0.015,256,21041,20785,0.0122,7123,0,7123,,53510,2447841,2394331,0.0219,53510,2447841,0,
1731,300,300,3371,150794,147423,0.0224,2884,139251,136367,0.0207,106,2795,2689,0.0379,4011,0,4011,,7752,214620,206868,0.0361,7752,214620,0,
1732,0,210,1050,23559,22509,0.0446,813,18785,17972,0.0433,28,808,780,0.0347,879,0,879,,8358,176085,167727,0.0475,8358,176085,0,
1733,263,263,2523,75615,73092,0.0334,2113,65749,63636,0.0321,87,2906,2819,0.0299,2125,0,2125,,6687,190264,183577,0.0351,6687,190264,0,
1734,220,220,956,2298,1342,0.416,823,2107,1284,0.3906,14,23,9,0.6087,847,0,847,,2353,3657,1304,0.6434,2353,3657,0,
1735,260,220,3511,12030,8519,0.2919,2943,10680,7737,0.2756,130,384,254,0.3385,3202,0,3202,,13292,32253,18961,0.4121,13292,32253,0,
1736,266,266,2026,41837,39811,0.0484,1691,37138,35447,0.0455,69,1310,1241,0.0527,1892,0,1892,,5826,85255,79429,0.0683,5826,85255,0,
1737,280,265,23639,4121871,4098232,0.0057,20481,3805000,3784519,0.0054,478,67022,66544,0.0071,23023,0,23023,,80687,8283080,8202393,0.0097,80687,8283080,0,
1738,310,300,1612,12586,10974,0.1281,1385,11855,10470,0.1168,53,204,151,0.2598,3060,0,3060,,2285,7380,5095,0.3096,2285,7380,0,
1739,260,260,125965,335090,209125,0.3759,109051,307671,198620,0.3544,3516,8855,5339,0.3971,84451,0,84451,,438740,535595,96855,0.8192,438740,535595,0,
1740,260,260,8653,629033,620380,0.0138,7848,594132,586284,0.0132,252,14550,14298,0.0173,7379,0,7379,,6380,279411,273031,0.0228,6380,279411,0,
1741,270,270,323,715,392,0.4517,232,502,270,0.4622,8,19,11,0.4211,163,0,163,,1788,4806,3018,0.372,1788,4806,0,
1742,310,310,71406,636843,565437,0.1121,64432,607085,542653,0.1061,1790,8376,6586,0.2137,93069,0,93069,,97182,433648,336466,0.2241,97182,433648,0,
1743,260,260,10488,925385,914897,0.0113,9041,848246,839205,0.0107,309,25355,25046,0.0122,9643,0,9643,,30523,1606888,1576365,0.019,30523,1606888,0,
1744,268,266,1944,40742,38798,0.0477,1531,31533,30002,0.0486,59,2139,2080,0.0276,1226,0,1226,,9776,227432,217656,0.043,9776,227432,0,
1745,220,220,629,2260,1631,0.2783,523,2014,1491,0.2597,23,70,47,0.3286,596,0,596,,2057,4996,2939,0.4117,2057,4996,0,
1746,310,310,1783,29927,28144,0.0596,1536,28370,26834,0.0541,54,452,398,0.1195,3699,0,3699,,2015,19243,17228,0.1047,2015,19243,0,
1747,255,240,18747,662659,643912,0.0283,14693,555962,541269,0.0264,273,9836,9563,0.0278,8873,0,8873,,130530,3543674,3413144,0.0368,130530,3543674,0,
1748,310,300,22880,217280,194400,0.1053,18053,189284,171231,0.0954,296,2435,2139,0.1216,23561,0,23561,,165618,1037726,872108,0.1596,165618,1037726,0,
1749,200,200,680,1118,438,0.6082,493,843,350,0.5848,11,8,3,1.375,661,0,661,,2348,1524,824,1.5407,2348,1524,0,
1750,268,268,5315,101549,96234,0.0523,4492,91369,86877,0.0492,149,2312,2163,0.0644,2918,0,2918,,14172,197876,183704,0.0716,14172,197876,0,
1751,260,260,1466,48419,46953,0.0303,1234,45083,43849,0.0274,74,1376,1302,0.0538,2092,0,2092,,2624,35233,32609,0.0745,2624,35233,0,
1752,240,220,7117,38794,31677,0.1835,5718,30368,24650,0.1883,149,706,557,0.211,3625,0,3625,,38544,288538,249994,0.1336,38544,288538,0,
1753,300,300,1148,20173,19025,0.0569,902,18480,17578,0.0488,27,291,264,0.0928,1853,0,1853,,4149,32114,27965,0.1292,4149,32114,0,
1754,246,220,1573,1649,76,0.9539,1305,1429,124,0.9132,33,20,13,1.65,1999,0,1999,,6052,3509,2543,1.7247,6052,3509,0,
