order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,filt1_no_guarantee,filt1_with_guarantee,filt1_diff_abs,filt1_diff_factor,filt2_no_guarantee,filt2_with_guarantee,filt2_diff_abs,filt2_diff_factor,filt5_no_guarantee,filt5_with_guarantee,filt5_diff_abs,filt5_diff_factor
1900,300,300,762,2739,1977,0.2782,606,2211,1605,0.2741,16,66,50,0.2424,922,0,922,,3543,13184,9641,0.2687,3543,13184,0,
1901,260,260,11392,72457,61065,0.1572,8850,62903,54053,0.1407,117,1208,1091,0.0969,8140,0,8140,,96849,330695,233846,0.2929,96849,330695,0,
1902,220,220,257,417,160,0.6163,229,384,155,0.5964,1,1,0,1.0,160,0,160,,442,442,0,1.0,442,442,0,
1903,300,280,4408,449898,445490,0.0098,3786,427397,423611,0.0089,210,7652,7442,0.0274,6301,0,6301,,7146,216193,209047,0.0331,7146,216193,0,
1904,260,260,1327,18208,16881,0.0729,1072,15750,14678,0.0681,45,568,523,0.0792,1420,0,1420,,7099,76597,69498,0.0927,7099,76597,0,
1905,260,260,14800,111991,97191,0.1322,11736,101999,90263,0.1151,204,2937,2733,0.0695,12384,0,12384,,111226,209593,98367,0.5307,111226,209593,0,
1906,280,270,4250,69977,65727,0.0607,3758,65864,62106,0.0571,131,1728,1597,0.0758,4955,0,4955,,5435,34601,29166,0.1571,5435,34601,0,
1907,300,280,20642,1460323,1439681,0.0141,17225,1309207,1291982,0.0132,469,25335,24866,0.0185,17734,0,17734,,95884,4604026,4508142,0.0208,95884,4604026,0,
1908,260,255,9472,173102,163630,0.0547,8533,160962,152429,0.053,255,4748,4493,0.0537,6984,0,6984,,12548,141528,128980,0.0887,12548,141528,0,
1909,220,220,2157,23235,21078,0.0928,1767,20508,18741,0.0862,72,702,630,0.1026,2414,0,2414,,8360,68309,59949,0.1224,8360,68309,0,
1910,263,263,17781,887122,869341,0.02,13759,779997,766238,0.0176,155,10901,10746,0.0142,16117,0,16117,,163343,4085710,3922367,0.04,163343,4085710,0,
1911,200,200,213,323,110,0.6594,185,293,108,0.6314,0,0,0,,110,0,110,,445,445,0,1.0,445,445,0,
1912,300,300,4394,174566,170172,0.0252,3629,161596,157967,0.0225,180,3906,3726,0.0461,5976,0,5976,,13347,210707,197360,0.0633,13347,210707,0,
1913,265,265,3841,139120,135279,0.0276,3168,127299,124131,0.0249,128,3483,3355,0.0367,4220,0,4220,,17221,293297,276076,0.0587,17221,293297,0,
