order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,filt1_no_guarantee,filt1_with_guarantee,filt1_diff_abs,filt1_diff_factor,filt2_no_guarantee,filt2_with_guarantee,filt2_diff_abs,filt2_diff_factor,filt5_no_guarantee,filt5_with_guarantee,filt5_diff_abs,filt5_diff_factor
2401,322,322,134629,19780960,19646331,0.0068,118611,18908114,18789503,0.0063,2133,156172,154039,0.0137,202434,0,202434,,548203,27360135,26811932,0.02,548203,27360135,0,
2404,260,246,14000,480875,466875,0.0291,11401,408265,396864,0.0279,318,7972,7654,0.0399,6626,0,6626,,69941,2589404,2519463,0.027,69941,2589404,0,
2407,335,335,852619,100673618,99820999,0.0085,760610,94532261,93771651,0.008,13749,1375070,1361321,0.01,694693,0,694693,,2197751,129900125,127702374,0.0169,2197751,129900125,0,
2408,300,285,245228,3470207,3224979,0.0707,212475,3231324,3018849,0.0658,4146,50140,45994,0.0827,168683,0,168683,,934076,5807962,4873886,0.1608,934076,5807962,0,
2409,285,280,1564,10153,8589,0.154,1248,9199,7951,0.1357,16,156,140,0.1026,2788,0,2788,,12675,36145,23470,0.3507,12675,36145,0,
2410,280,280,142207,16838449,16696242,0.0084,113446,14625568,14512122,0.0078,4882,549445,544563,0.0089,102482,0,102482,,958599,64995079,64036480,0.0147,958599,64995079,0,
2411,300,300,110260,3369972,3259712,0.0327,94622,3116210,3021588,0.0304,2053,56968,54915,0.036,90467,0,90467,,490346,6124606,5634260,0.0801,490346,6124606,0,
2413,333,320,1373976,203200609,201826633,0.0068,1221631,191964655,190743024,0.0064,20212,2832405,2812193,0.0071,1150006,0,1150006,,4591107,249274493,244683386,0.0184,4591107,249274493,0,
2414,220,220,86837,141163,54326,0.6152,57165,121756,64591,0.4695,1315,1122,193,1.172,24592,0,24592,,1898136,1039413,858723,1.8262,1898136,1039413,0,
2415,400,400,1772254,52509730,50737476,0.0338,1478996,47157971,45678975,0.0314,48180,947825,899645,0.0508,1854692,0,1854692,,7388247,159669514,152281267,0.0463,7388247,159669514,0,
2419,400,400,1148541,14697756,13549215,0.0781,982576,13754080,12771504,0.0714,30918,225331,194413,0.1372,1340516,0,1340516,,5824569,31317059,25492490,0.186,5824569,31317059,0,
