order_id,topx_limit,time_taken (min),(seconds),score,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
2300,-1,13,13,280,244545,189551,6568,117031,1982648,0,2295798
2300,1,0,1,0,6,0,0,0,1,176,177
2300,2,0,7,280,389,3,21,23,316,15455,15818
2300,3,0,17,280,1463,134,150,128,1940,50910,53262
2300,4,0,48,280,4438,628,393,674,8536,151225,161456
2300,5,1,47,280,10476,2164,896,2507,24067,323884,353518
2300,6,3,16,280,21108,6046,1831,6719,51511,566826,632933
2300,7,6,19,280,44627,15677,3956,16290,113970,1036468,1186361
2300,8,9,15,280,69300,27328,5687,26850,194032,1472475,1726372
2300,9,10,28,280,86446,38228,6844,35092,250708,1660150,1991022
2300,10,10,49,280,94996,45630,7023,39765,288535,1658354,2039307
2300,11,11,3,280,102863,53114,7083,43457,322858,1628743,2055255
2300,12,11,30,280,114911,62999,7426,48283,370464,1651885,2141057
2300,13,11,55,280,123322,71330,7444,51270,404330,1610061,2144435
2300,14,11,53,280,132348,80236,7461,54428,438120,1569974,2150219
2300,15,11,59,280,141282,89159,7461,57611,470788,1525727,2150746
2301,-1,0,14,270,4246,3319,176,3083,23535,0,30113
2301,1,0,1,0,3,0,0,0,1,76,77
2301,2,0,2,0,37,0,1,0,37,1266,1304
2301,3,0,2,0,99,2,6,19,158,3406,3591
2301,4,0,4,0,293,58,18,71,508,8540,9195
2301,5,0,10,280,847,220,47,201,1852,22940,25260
2301,6,0,22,280,2409,878,126,541,5480,55939,62964
2301,7,0,28,270,3528,1489,166,898,8614,71316,82483
2301,8,0,39,270,5080,2374,233,1289,13285,91065,108246
2301,9,0,42,270,6464,3338,265,1730,17390,102681,125404
2301,10,0,44,270,7101,3972,265,1984,19341,99839,125401
2301,11,0,47,270,8221,4874,283,2374,22862,104347,134740
2301,12,0,48,270,8848,5492,285,2711,24999,101458,134945
2301,13,0,49,270,9392,6035,285,3077,27135,98412,134944
2301,14,0,49,270,9849,6492,285,3464,29337,95366,134944
2301,15,0,49,270,10123,6766,285,3886,31687,92320,134944
2302,-1,48,16,363,946578,786131,18599,751094,4689562,0,6245386
2302,1,0,2,0,3,0,0,0,1,60,61
2302,2,0,2,0,21,0,1,1,20,681,703
2302,3,0,7,410,504,81,51,111,489,16851,17583
2302,4,0,33,380,2985,748,295,1093,3634,85880,91650
2302,5,1,19,350,7722,2697,633,3267,10916,191572,209085
2302,6,6,34,350,47725,22569,2839,18345,67754,961102,1072609
2302,7,9,43,350,81238,44654,4113,32003,113950,1375946,1570666
2302,8,10,58,350,98869,58665,4477,42888,143897,1481313,1731240
2302,9,11,58,350,116523,72550,4855,55216,180158,1566806,1879585
2302,10,12,13,350,124455,80425,4860,63342,203699,1529653,1881979
2302,11,12,23,350,136033,91269,4947,72350,229423,1498798,1896787
2302,12,12,17,350,144533,99769,4947,78891,254182,1458998,1896787
2302,13,12,21,350,153158,108393,4947,84646,279602,1419198,1896786
2302,14,13,56,350,161536,116769,4947,89819,305851,1379398,1896784
2302,15,14,25,350,169694,124925,4947,94563,332747,1339600,1896782
2303,-1,4,25,280,53085,34265,276,27186,838136,0,899863
2303,1,0,1,0,3,0,0,0,1,66,67
2303,2,0,2,0,73,0,0,3,72,3024,3099
2303,3,0,5,0,360,5,1,70,635,16084,16795
2303,4,0,14,280,1075,32,10,212,2845,47273,50372
2303,5,0,43,280,3318,172,28,624,11648,144684,157156
2303,6,1,58,280,9747,1048,189,1896,39417,397514,440064
2303,7,3,2,280,16007,2573,347,4052,71549,598148,676669
2303,8,4,2,280,21855,4602,417,7346,105485,753486,871336
2303,9,4,32,280,26386,7094,461,10853,132237,823783,974428
2303,10,4,43,280,29537,9409,476,14081,152898,839862,1016726
2303,11,4,59,280,32519,11631,494,17469,174341,851064,1054999
2303,12,4,58,280,34351,13351,494,20136,191579,834945,1060505
