order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
1200,220,220,533,550,17,0.9691,450,500,50,0.9,0,0,0,N/A,14,7,7,2.0,1315,0,1315,N/A,854,856,2,0.9977
1201,266,266,616,9656,9040,0.0638,488,8372,7884,0.0583,0,0,0,N/A,28,371,343,0.0755,1504,0,1504,N/A,1153,23256,22103,0.0496
1202,220,220,248,329,81,0.7538,221,299,78,0.7391,0,0,0,N/A,3,4,1,0.75,219,0,219,N/A,132,180,48,0.7333
1203,266,263,1335,29043,27708,0.046,1057,24884,23827,0.0425,0,0,0,N/A,58,1136,1078,0.0511,3110,0,3110,N/A,2668,80232,77564,0.0333
1204,213,213,572,4931,4359,0.116,459,4285,3826,0.1071,0,0,0,N/A,20,142,122,0.1408,1097,0,1097,N/A,1060,12033,10973,0.0881
1205,220,220,115,269,154,0.4275,92,232,140,0.3966,0,0,0,N/A,2,6,4,0.3333,248,0,248,N/A,78,172,94,0.4535
1206,246,220,1413,4043,2630,0.3495,1141,3575,2434,0.3192,0,0,0,N/A,41,48,7,0.8542,2887,0,2887,N/A,651,1550,899,0.42
1207,210,200,1110,1814,704,0.6119,903,1559,656,0.5792,0,0,0,N/A,49,39,10,1.2564,3103,0,3103,N/A,1511,2613,1102,0.5783
1208,210,210,2318,64669,62351,0.0358,1938,60000,58062,0.0323,0,0,0,N/A,90,1777,1687,0.0506,4195,0,4195,N/A,2055,62846,60791,0.0327
1209,220,220,184,317,133,0.5804,141,248,107,0.5685,0,0,0,N/A,1,1,0,1.0,181,0,181,N/A,82,130,48,0.6308
1210,200,200,174,273,99,0.6374,121,190,69,0.6368,0,0,0,N/A,1,1,0,1.0,209,0,209,N/A,281,489,208,0.5746
1211,200,200,160,283,123,0.5654,139,257,118,0.5409,0,0,0,N/A,0,0,0,N/A,191,0,191,N/A,90,158,68,0.5696
