order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
1600,268,266,772,7902,7130,0.0977,576,6917,6341,0.0833,0,0,0,N/A,27,241,214,0.112,2710,0,2710,N/A,2029,14979,12950,0.1355
1601,260,260,10383,153973,143590,0.0674,9017,135919,126902,0.0663,0,0,0,N/A,186,4891,4705,0.038,22135,0,22135,N/A,21238,364364,343126,0.0583
1602,260,260,7940,623473,615533,0.0127,7087,582542,575455,0.0122,0,0,0,N/A,261,16146,15885,0.0162,10475,0,10475,N/A,5264,453562,448298,0.0116
1603,255,220,1264,26085,24821,0.0485,853,19629,18776,0.0435,0,0,0,N/A,31,804,773,0.0386,9385,0,9385,N/A,6044,253819,247775,0.0238
1604,255,255,1561,11466,9905,0.1361,1340,10501,9161,0.1276,0,0,0,N/A,43,291,248,0.1478,4064,0,4064,N/A,1364,16458,15094,0.0829
1605,220,220,1866,1756,110,1.0626,1562,1516,46,1.0303,0,0,0,N/A,40,8,32,5.0,5657,0,5657,N/A,2356,1807,549,1.3038
1606,200,200,402,1484,1082,0.2709,318,1180,862,0.2695,0,0,0,N/A,4,24,20,0.1667,1035,0,1035,N/A,1350,8041,6691,0.1679
1607,266,263,732,12627,11895,0.058,610,11385,10775,0.0536,0,0,0,N/A,26,377,351,0.069,1643,0,1643,N/A,866,18887,18021,0.0459
1608,280,280,2728,48617,45889,0.0561,2323,45827,43504,0.0507,0,0,0,N/A,115,907,792,0.1268,6986,0,6986,N/A,2033,35017,32984,0.0581
1609,263,263,301,1715,1414,0.1755,247,1581,1334,0.1562,0,0,0,N/A,9,23,14,0.3913,975,0,975,N/A,344,2080,1736,0.1654
1610,300,300,551,6719,6168,0.082,412,6027,5615,0.0684,0,0,0,N/A,21,117,96,0.1795,2404,0,2404,N/A,995,13239,12244,0.0752
1611,263,260,48865,497345,448480,0.0983,40386,459600,419214,0.0879,0,0,0,N/A,1681,11017,9336,0.1526,147153,0,147153,N/A,130902,798892,667990,0.1639
1612,260,255,2517,38586,36069,0.0652,2172,35061,32889,0.0619,0,0,0,N/A,85,1121,1036,0.0758,3396,0,3396,N/A,3005,57199,54194,0.0525
1613,220,220,182,345,163,0.5275,153,308,155,0.4968,0,0,0,N/A,2,4,2,0.5,382,0,382,N/A,243,462,219,0.526
1614,266,263,1112,15233,14121,0.073,893,13360,12467,0.0668,0,0,0,N/A,39,425,386,0.0918,3204,0,3204,N/A,2264,39555,37291,0.0572
1615,260,260,426,4210,3784,0.1012,334,3845,3511,0.0869,0,0,0,N/A,22,108,86,0.2037,1467,0,1467,N/A,672,5878,5206,0.1143
1616,200,200,248,372,124,0.6667,224,343,119,0.6531,0,0,0,N/A,0,0,0,N/A,309,0,309,N/A,187,356,169,0.5253
1617,220,220,224,408,184,0.549,198,368,170,0.538,0,0,0,N/A,0,0,0,N/A,391,0,391,N/A,203,410,207,0.4951
1618,246,246,579,6871,6292,0.0843,456,6381,5925,0.0715,0,0,0,N/A,23,120,97,0.1917,1772,0,1772,N/A,315,3573,3258,0.0882
1619,255,227,1278,11824,10546,0.1081,1075,10682,9607,0.1006,0,0,0,N/A,39,324,285,0.1204,2638,0,2638,N/A,1253,16347,15094,0.0767
1620,220,220,394,772,378,0.5104,322,693,371,0.4646,0,0,0,N/A,2,6,4,0.3333,974,0,974,N/A,512,1086,574,0.4715
1621,0,200,435,880,445,0.4943,331,724,393,0.4572,0,0,0,N/A,19,15,4,1.2667,2118,0,2118,N/A,1309,1930,621,0.6782
1622,263,263,7431,163353,155922,0.0455,5937,146844,140907,0.0404,0,0,0,N/A,166,2207,2041,0.0752,32760,0,32760,N/A,26869,569656,542787,0.0472
1623,220,220,251,429,178,0.5851,195,339,144,0.5752,0,0,0,N/A,2,4,2,0.5,310,0,310,N/A,171,303,132,0.5644
1624,255,220,4151,6310,2159,0.6578,3740,5808,2068,0.6439,0,0,0,N/A,109,143,34,0.7622,5597,0,5597,N/A,3406,7243,3837,0.4702
1625,263,260,20346,1216109,1195763,0.0167,17961,1141218,1123257,0.0157,0,0,0,N/A,424,25989,25565,0.0163,39696,0,39696,N/A,26944,994321,967377,0.0271
1626,280,280,1837,67685,65848,0.0271,1517,62703,61186,0.0242,0,0,0,N/A,92,1565,1473,0.0588,6561,0,6561,N/A,1793,95101,93308,0.0189
1627,255,255,11968,352144,340176,0.034,10957,335229,324272,0.0327,0,0,0,N/A,308,7480,7172,0.0412,14186,0,14186,N/A,3622,69954,66332,0.0518
1628,300,300,648,2606,1958,0.2487,448,2071,1623,0.2163,0,0,0,N/A,14,62,48,0.2258,2702,0,2702,N/A,1075,7353,6278,0.1462
1629,300,300,2389,8438,6049,0.2831,2083,7959,5876,0.2617,0,0,0,N/A,90,159,69,0.566,5452,0,5452,N/A,834,2940,2106,0.2837
1630,220,220,1203,2575,1372,0.4672,1046,2352,1306,0.4447,0,0,0,N/A,26,38,12,0.6842,1923,0,1923,N/A,880,2171,1291,0.4053
