order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
2200,380,380,47838,8552113,8504275,0.0056,42038,8197001,8154963,0.0051,0,0,0,N/A,972,99505,98533,0.0098,123354,0,123354,N/A,45878,4497622,4451744,0.0102
2201,280,270,4083,169222,165139,0.0241,3616,158563,154947,0.0228,0,0,0,N/A,86,3659,3573,0.0235,8881,0,8881,N/A,3150,147882,144732,0.0213
2202,268,266,742,8685,7943,0.0854,607,7756,7149,0.0783,0,0,0,N/A,22,227,205,0.0969,2215,0,2215,N/A,1149,17025,15876,0.0675
2203,222,220,22756,21803,953,1.0437,18141,18104,37,1.002,0,0,0,N/A,429,374,55,1.1471,61547,0,61547,N/A,109180,124260,15080,0.8786
2204,268,266,148218,1155200,1006982,0.1283,116266,935269,819003,0.1243,0,0,0,N/A,2289,24142,21853,0.0948,525253,0,525253,N/A,725641,8442777,7717136,0.0859
2205,260,260,7909,387230,379321,0.0204,7090,356873,349783,0.0199,0,0,0,N/A,205,10354,10149,0.0198,11454,0,11454,N/A,8412,589713,581301,0.0143
2206,280,280,20054,669158,649104,0.03,12749,521970,509221,0.0244,0,0,0,N/A,201,5242,5041,0.0383,189101,0,189101,N/A,163294,6764773,6601479,0.0241

2209,350,350,152487,4062913,3910426,0.0375,130051,3623674,3493623,0.0359,0,0,0,N/A,5629,133624,127995,0.0421,491141,0,491141,N/A,265718,12490229,12224511,0.0213
2210,333,330,15752,1193192,1177440,0.0132,12787,1097818,1085031,0.0116,0,0,0,N/A,528,23817,23289,0.0222,77993,0,77993,N/A,33173,2802657,2769484,0.0118
