order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
1700,265,263,2744,244728,241984,0.0112,2219,229211,226992,0.0097,0,0,0,N/A,207,7524,7317,0.0275,8644,0,8644,N/A,2727,121511,118784,0.0224
1701,220,220,565,916,351,0.6168,487,840,353,0.5798,0,0,0,N/A,11,16,5,0.6875,941,0,941,N/A,625,677,52,0.9232
1702,220,220,210,387,177,0.5426,188,360,172,0.5222,0,0,0,N/A,1,2,1,0.5,377,0,377,N/A,215,429,214,0.5012
1703,220,220,3513,5205,1692,0.6749,3077,4678,1601,0.6578,0,0,0,N/A,59,82,23,0.7195,5366,0,5366,N/A,5010,10019,5009,0.5
1704,270,270,3927,232739,228812,0.0169,2963,188270,185307,0.0157,0,0,0,N/A,176,12324,12148,0.0143,13702,0,13702,N/A,12028,1055649,1043621,0.0114
1705,280,266,3090,16091,13001,0.192,2666,15016,12350,0.1775,0,0,0,N/A,130,386,256,0.3368,6696,0,6696,N/A,2276,10578,8302,0.2152
1706,268,268,1955,48000,46045,0.0407,1571,43534,41963,0.0361,0,0,0,N/A,47,776,729,0.0606,4713,0,4713,N/A,4422,93682,89260,0.0472
1707,220,220,131,258,127,0.5078,114,241,127,0.473,0,0,0,N/A,0,0,0,N/A,376,0,376,N/A,225,474,249,0.4747
1708,213,200,1196,1133,63,1.0556,1057,1009,48,1.0476,0,0,0,N/A,32,10,22,3.2,1754,0,1754,N/A,970,1267,297,0.7656
1709,220,220,737,1250,513,0.5896,647,1146,499,0.5646,0,0,0,N/A,20,32,12,0.625,1236,0,1236,N/A,995,1756,761,0.5666
1710,310,310,2788,140131,137343,0.0199,2418,133289,130871,0.0181,0,0,0,N/A,83,2373,2290,0.035,6947,0,6947,N/A,1639,60925,59286,0.0269
1711,260,255,24242,150944,126702,0.1606,20926,139988,119062,0.1495,0,0,0,N/A,849,3239,2390,0.2621,66464,0,66464,N/A,30131,236832,206701,0.1272
1712,220,220,219,347,128,0.6311,194,322,128,0.6025,0,0,0,N/A,0,0,0,N/A,339,0,339,N/A,232,425,193,0.5459
1713,268,268,2546,39428,36882,0.0646,1963,32708,30745,0.06,0,0,0,N/A,79,1535,1456,0.0515,7820,0,7820,N/A,6043,157426,151383,0.0384
1714,220,220,207,383,176,0.5405,182,350,168,0.52,0,0,0,N/A,2,5,3,0.4,341,0,341,N/A,180,345,165,0.5217
1715,265,265,484,2324,1840,0.2083,368,1855,1487,0.1984,0,0,0,N/A,11,61,50,0.1803,1631,0,1631,N/A,869,10266,9397,0.0846
1716,255,255,6894,188401,181507,0.0366,6031,174630,168599,0.0345,0,0,0,N/A,223,5354,5131,0.0417,13960,0,13960,N/A,6540,181575,175035,0.036
1717,268,268,1308,24181,22873,0.0541,857,17249,16392,0.0497,0,0,0,N/A,47,1303,1256,0.0361,6344,0,6344,N/A,5521,187121,181600,0.0295
1718,260,260,713,10107,9394,0.0705,570,9058,8488,0.0629,0,0,0,N/A,38,308,270,0.1234,2336,0,2336,N/A,1039,19256,18217,0.054
1719,266,263,9126,163795,154669,0.0557,7780,145149,137369,0.0536,0,0,0,N/A,334,6321,5987,0.0528,12469,0,12469,N/A,13254,291999,278745,0.0454
