order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
1400,BFD,0.3411,266,0.756,100.0,61.51,86.83,102.47,2244,,,,,,
1400,BNB,0.5311,0,0.0,0.0,,0.0,-1.0,39,15.0,1.0,17.0,64.0,516.0,613.0
1400,FFD,0.016,1365,0.137,100.0,11.99,16.13,583.6,291,,,,,,
1400,RANDOM,0.0348,1001,0.202,100.0,16.35,32.92,382.35,292,,,,,,
1401,BFD,0.3455,333,0.778,100.0,62.51,86.13,125.88,2526,,,,,,
1401,BNB,11.5635,300,0.801,100.0,69.39,84.19,126.84,1565,587.0,196.0,495.0,1830.0,28199.0,31307.0
1401,FFD,0.0151,1365,0.179,100.0,15.25,20.22,565.36,201,,,,,,
1401,RANDOM,0.0442,1301,0.211,100.0,16.0,42.98,442.61,381,,,,,,
1402,BFD,0.3838,210,0.845,100.0,76.31,87.66,93.67,2484,,,,,,
1402,BNB,0.9246,210,0.846,100.0,76.31,87.66,93.56,109,50.0,8.0,47.0,89.0,1946.0,2140.0
1402,FFD,0.0095,1400,0.13,100.0,11.45,14.95,603.65,143,,,,,,
1402,RANDOM,0.0267,1106,0.184,100.0,14.49,39.38,402.26,253,,,,,,
1403,BFD,0.3757,210,0.808,100.0,72.71,84.22,93.39,2706,,,,,,
1403,BNB,2.7315,0,0.0,0.0,,0.0,-1.0,381,141.0,36.0,158.0,486.0,8921.0,9742.0
1403,FFD,0.0147,1375,0.132,100.0,11.1,14.95,560.68,222,,,,,,
1403,RANDOM,0.0377,823,0.254,100.0,18.55,49.96,259.61,386,,,,,,
1404,BFD,0.3818,260,0.806,100.0,65.79,87.11,100.75,2478,,,,,,
1404,BNB,2.0004,260,0.806,100.0,65.79,86.31,100.76,387,208.0,56.0,103.0,115.0,4457.0,4939.0
1404,FFD,0.0101,1365,0.136,100.0,12.53,14.08,623.27,152,,,,,,
1404,RANDOM,0.0234,911,0.223,100.0,18.78,29.58,370.14,206,,,,,,
1405,BFD,0.4749,220,0.706,100.0,64.12,73.77,98.95,3834,,,,,,
1405,BNB,0.8675,220,0.713,100.0,64.12,73.77,97.62,61,21.0,3.0,41.0,78.0,1539.0,1682.0
1405,FFD,0.0112,1375,0.113,100.0,10.26,11.89,617.26,203,,,,,,
1405,RANDOM,0.0182,480,0.359,100.0,29.39,46.5,186.66,144,,,,,,
1406,BFD,0.4047,260,0.738,100.0,60.52,81.91,101.38,3426,,,,,,
1406,BNB,4.1324,260,0.731,100.0,60.52,82.21,103.04,668,319.0,89.0,235.0,377.0,10677.0,11697.0
1406,FFD,0.0116,1390,0.125,100.0,11.32,13.52,624.06,205,,,,,,
1406,RANDOM,0.0309,758,0.296,100.0,20.76,48.78,217.87,301,,,,,,
1407,BFD,0.44,263,0.794,100.0,65.95,86.94,104.6,3504,,,,,,
1407,BNB,4.0815,263,0.79,100.0,65.95,85.4,105.54,695,353.0,59.0,181.0,524.0,11131.0,12248.0
1407,FFD,0.0122,1399,0.144,100.0,12.4,16.13,586.07,205,,,,,,
1407,RANDOM,0.0257,875,0.259,100.0,19.82,42.08,303.41,250,,,,,,
1408,BFD,0.3441,280,0.742,100.0,61.11,78.45,110.03,2196,,,,,,
1408,BNB,0.892,213,0.857,100.0,80.34,86.59,99.37,130,64.0,12.0,36.0,89.0,1697.0,1898.0
1408,FFD,0.0111,1400,0.132,100.0,12.22,13.56,643.23,165,,,,,,
1408,RANDOM,0.026,1256,0.169,100.0,13.62,36.86,478.58,233,,,,,,
1409,BFD,0.3894,268,0.735,100.0,62.44,79.98,110.17,2730,,,,,,
1409,BNB,1.1379,268,0.748,100.0,62.44,81.91,107.52,102,26.0,7.0,65.0,158.0,1944.0,2200.0
1409,FFD,0.0173,1395,0.138,100.0,12.0,16.61,594.93,291,,,,,,
1409,RANDOM,0.0208,1136,0.187,100.0,14.73,32.33,416.44,168,,,,,,
1410,BFD,0.3641,260,0.769,100.0,61.37,86.03,97.04,2124,,,,,,
1410,BNB,1.419,213,0.828,100.0,74.92,85.61,95.32,190,92.0,19.0,86.0,104.0,2498.0,2799.0
1410,FFD,0.013,1376,0.131,100.0,11.6,15.43,596.86,220,,,,,,
1410,RANDOM,0.028,828,0.245,100.0,19.27,42.16,300.62,231,,,,,,
1411,BFD,0.3304,210,0.701,100.0,61.9,73.82,91.11,2256,,,,,,
1411,BNB,1.3717,200,0.773,100.0,64.99,83.57,81.13,170,56.0,9.0,97.0,228.0,4100.0,4490.0
1411,FFD,0.0185,1315,0.115,100.0,9.88,13.79,549.85,277,,,,,,
1411,RANDOM,0.0207,678,0.248,100.0,19.17,45.69,239.36,175,,,,,,
1412,BFD,0.3377,213,0.704,100.0,63.46,73.08,94.88,2466,,,,,,
1412,BNB,0.6694,200,0.789,100.0,67.58,82.83,83.28,83,49.0,2.0,22.0,40.0,1171.0,1284.0
1412,FFD,0.0202,1365,0.114,100.0,9.9,13.38,576.65,321,,,,,,
1412,RANDOM,0.0285,558,0.287,100.0,24.22,36.86,227.38,223,,,,,,
1413,BFD,0.4418,260,0.74,100.0,64.88,76.34,111.72,3156,,,,,,
1413,BNB,5.8856,260,0.735,100.0,64.88,75.54,112.77,975,439.0,147.0,313.0,647.0,16565.0,18111.0
1413,FFD,0.0132,1375,0.137,100.0,12.27,14.41,606.67,254,,,,,,
1413,RANDOM,0.0179,543,0.403,100.0,31.07,52.55,190.7,140,,,,,,
1414,BFD,0.3509,280,0.793,100.0,71.51,81.81,124.72,1602,,,,,,
1414,BNB,1.6409,268,0.845,100.0,74.71,88.08,116.48,213,81.0,22.0,77.0,240.0,3631.0,4051.0
