order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
3992,BNB,436.9857,435,0.888,100.0,80.57,92.91,195.27,28466,4040.0,38.0,3916.0,89473.0,1127241.0,1224708.0
3992,FFD,0.1382,1395,0.272,100.0,25.12,28.48,639.93,3790,,,,,,
3992,RANDOM,1.6117,1373,0.208,74.36,16.08,47.7,484.25,21057,,,,,,
3993,BFD,3.8064,550,0.872,100.0,75.89,93.2,233.95,42108,,,,,,
3993,BNB,298.9085,550,0.865,100.0,75.89,96.2,236.72,17312,1094.0,110.0,4923.0,58305.0,656984.0,721416.0
3993,FFD,0.1299,1395,0.316,100.0,29.92,32.16,657.29,3671,,,,,,
3993,RANDOM,1.4581,1390,0.267,74.36,23.65,38.6,604.09,23710,,,,,,
3994,BFD,5.3419,638,0.765,100.0,61.81,90.26,242.98,43104,,,,,,
3994,BNB,95653.0214,490,0.891,100.0,80.48,95.91,218.89,9896643,1200722.0,142311.0,1666037.0,31205230.0,389901968.0,424116268.0
3994,FFD,0.1556,1375,0.306,100.0,28.68,31.6,642.21,4249,,,,,,
3994,RANDOM,0.2389,1368,0.325,100.0,28.83,51.72,596.14,2929,,,,,,
3995,BFD,2.6709,693,0.856,100.0,78.62,88.81,315.51,16428,,,,,,
3995,BNB,4.034,0,0.0,0.0,,0.0,-1.0,148,0.0,0.0,72.0,525.0,3662.0,4259.0
3995,FFD,0.1456,1400,0.423,100.0,38.91,43.44,638.86,4566,,,,,,
3995,RANDOM,2.2036,1400,0.274,53.85,24.05,46.26,602.32,38613,,,,,,
3996,BFD,3.696,560,0.881,100.0,78.35,91.95,245.14,30144,,,,,,
3996,BNB,130.2785,0,0.0,0.0,,0.0,-1.0,7401,501.0,89.0,1922.0,24737.0,268364.0,295613.0
3996,FFD,0.0877,1399,0.331,100.0,31.36,34.63,660.79,2563,,,,,,
3996,RANDOM,2.2482,1367,0.265,69.23,20.64,36.79,488.34,26094,,,,,,
3997,BFD,4.0968,474,0.878,100.0,78.03,93.01,207.31,41292,,,,,,
3997,BNB,1206.018,460,0.894,100.0,80.4,93.09,204.23,69823,5783.0,1016.0,12301.0,232931.0,5348732.0,5600763.0
3997,FFD,0.1435,1399,0.283,100.0,26.44,28.27,649.95,5272,,,,,,
3997,RANDOM,2.3749,756,0.343,69.23,27.64,42.93,286.68,24269,,,,,,
3998,BFD,2.9605,600,0.902,100.0,80.32,94.44,263.03,25176,,,,,,
3998,BNB,21969.2325,550,0.944,100.0,87.62,97.2,253.81,2568486,1252771.0,165941.0,355942.0,2824302.0,59800573.0,64399529.0
3998,FFD,0.1092,1399,0.373,100.0,34.45,39.32,642.45,2435,,,,,,
3998,RANDOM,5.94,572,0.211,33.33,15.59,50.13,184.54,52262,,,,,,
3999,BFD,4.5232,565,0.866,100.0,75.65,94.7,241.58,34068,,,,,,
3999,BNB,720.9436,535,0.885,100.0,79.89,94.72,238.61,43363,4753.0,1236.0,9348.0,134109.0,1660708.0,1810154.0
3999,FFD,0.0917,1385,0.323,100.0,30.86,32.99,659.18,2417,,,,,,
3999,RANDOM,2.6183,1385,0.236,61.54,17.82,41.81,467.11,31873,,,,,,
