order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
1600,BFD,0.397,268,0.821,100.0,73.1,86.83,117.55,2532,,,,,,
1600,BNB,1.4205,268,0.789,100.0,73.1,80.57,123.38,150,51.0,8.0,48.0,247.0,2919.0,3273.0
1600,FFD,0.0207,1399,0.165,100.0,14.0,19.75,574.81,333,,,,,,
1600,RANDOM,0.0459,1132,0.196,100.0,17.31,25.96,491.32,430,,,,,,
1601,BFD,0.4767,280,0.755,100.0,65.18,81.7,117.91,4542,,,,,,
1601,BNB,4.2415,263,0.781,100.0,69.39,81.7,115.05,594,263.0,46.0,213.0,583.0,10786.0,11891.0
1601,FFD,0.0232,1265,0.162,100.0,14.43,17.37,553.0,322,,,,,,
1601,RANDOM,0.0166,939,0.267,100.0,19.44,46.18,293.75,126,,,,,,
1602,BFD,0.7374,260,0.826,100.0,69.23,89.4,104.96,4392,,,,,,
1602,BNB,5.7979,260,0.809,100.0,69.23,85.5,108.15,924,499.0,122.0,274.0,307.0,11628.0,12830.0
1602,FFD,0.0161,1385,0.136,100.0,13.0,14.22,662.38,319,,,,,,
1602,RANDOM,0.3946,1211,0.194,100.0,14.86,35.09,421.03,3634,,,,,,
1603,BFD,0.4574,260,0.763,100.0,62.41,84.0,101.01,5292,,,,,,
1603,BNB,3.797,260,0.711,100.0,62.41,80.82,111.88,306,51.0,14.0,176.0,708.0,9840.0,10789.0
1603,FFD,0.0185,1390,0.129,100.0,11.67,13.74,622.68,261,,,,,,
1603,RANDOM,0.0306,770,0.283,100.0,21.07,42.89,252.67,266,,,,,,
1604,BFD,0.4944,300,0.777,100.0,63.02,84.06,115.02,3852,,,,,,
1604,BNB,1.3922,280,0.767,100.0,67.52,79.28,120.91,149,60.0,20.0,70.0,121.0,2620.0,2891.0
1604,FFD,0.0129,1382,0.149,100.0,13.68,15.45,630.86,238,,,,,,
1604,RANDOM,0.0776,1145,0.22,100.0,16.51,44.51,383.56,779,,,,,,
1605,BFD,0.5557,280,0.763,100.0,62.16,85.2,108.1,3408,,,,,,
1605,BNB,1.6866,246,0.815,100.0,70.75,83.65,104.27,169,60.0,14.0,72.0,219.0,4451.0,4816.0
1605,FFD,0.0147,1392,0.138,100.0,12.5,14.41,622.9,271,,,,,,
1605,RANDOM,0.0649,1030,0.229,100.0,16.9,44.24,331.21,606,,,,,,
1606,BFD,0.4229,200,0.757,100.0,65.0,79.39,83.55,2976,,,,,,
1606,BNB,1.0291,200,0.796,100.0,65.0,85.53,77.47,92,40.0,1.0,20.0,138.0,1846.0,2045.0
1606,FFD,0.0165,1399,0.105,100.0,9.29,12.34,608.3,295,,,,,,
