order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
2700,BFD,1.2167,463,0.908,100.0,81.62,94.32,205.5,7326,,,,,,
2700,BNB,31.9489,460,0.933,100.0,82.15,97.29,198.88,2332,543.0,163.0,679.0,5104.0,74507.0,80996.0
2700,FFD,0.0407,1373,0.305,100.0,27.52,32.27,612.96,667,,,,,,
2700,RANDOM,0.132,1346,0.318,100.0,28.07,43.0,584.71,1711,,,,,,
2701,BFD,0.7625,463,0.917,100.0,80.08,95.32,197.97,5802,,,,,,
2701,BNB,2.2756,0,0.0,0.0,,0.0,-1.0,130,0.0,1.0,58.0,462.0,3259.0,3780.0
2701,FFD,0.0193,1390,0.283,100.0,26.67,30.32,653.36,635,,,,,,
2701,RANDOM,0.6793,1393,0.264,85.19,22.89,51.64,590.73,10583,,,,,,
2702,BFD,1.135,430,0.881,100.0,74.59,95.32,176.01,14268,,,,,,
2702,BNB,312.2971,375,0.94,100.0,85.53,95.54,169.01,32133,12356.0,2826.0,7686.0,44806.0,862684.0,930358.0
2702,FFD,0.1118,1365,0.254,100.0,23.5,26.36,626.9,2646,,,,,,
2702,RANDOM,0.1579,1385,0.269,100.0,23.16,39.86,580.17,2280,,,,,,
2703,BFD,1.3259,360,0.889,100.0,77.82,94.54,154.4,15030,,,,,,
2703,BNB,363.1799,322,0.932,100.0,87.0,94.33,149.5,53980,25994.0,5096.0,13634.0,46801.0,1103569.0,1195094.0
2703,FFD,0.0431,1399,0.226,100.0,20.02,24.9,608.78,1017,,,,,,
2703,RANDOM,2.5012,442,0.235,51.85,17.95,37.63,152.6,26253,,,,,,
2704,BFD,1.7398,460,0.874,100.0,77.1,91.42,199.4,13698,,,,,,
2704,BNB,35.9556,460,0.872,100.0,77.1,91.9,199.85,3330,1274.0,354.0,1202.0,3968.0,85908.0,92706.0
2704,FFD,0.028,1382,0.274,100.0,25.66,28.65,642.97,523,,,,,,
2704,RANDOM,2.9989,510,0.274,44.44,21.78,38.35,188.71,30340,,,,,,
2705,BFD,1.1268,530,0.85,100.0,73.24,92.95,222.33,7668,,,,,,
2705,BNB,134.7932,500,0.89,100.0,77.63,94.24,213.27,15113,6973.0,1459.0,4325.0,13917.0,340563.0,367237.0
2705,FFD,0.0352,1400,0.3,100.0,27.73,31.86,641.8,757,,,,,,
2705,RANDOM,0.0581,1365,0.312,100.0,28.44,42.73,616.03,603,,,,,,
2706,BFD,1.968,322,0.789,100.0,68.04,85.61,135.28,17322,,,,,,
