order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
1200,BFD,0.2675,280,0.66,100.0,56.11,70.35,115.24,1854,,,,,,
1200,BNB,0.4307,220,0.783,100.0,71.41,80.1,99.35,36,16.0,1.0,15.0,39.0,495.0,566.0
1200,FFD,0.0107,1370,0.127,100.0,11.47,15.43,609.8,168,,,,,,
1200,RANDOM,0.0237,625,0.311,100.0,25.14,46.35,237.92,218,,,,,,
1201,BFD,0.1832,266,0.745,100.0,60.93,85.29,103.31,1278,,,,,,
1201,BNB,0.7864,266,0.745,100.0,60.93,85.29,103.31,183,86.0,20.0,50.0,142.0,2338.0,2636.0
1201,FFD,0.0083,1365,0.137,100.0,11.87,16.13,576.77,179,,,,,,
1201,RANDOM,0.0089,729,0.274,100.0,22.23,36.54,280.01,84,,,,,,
1202,BFD,0.292,220,0.566,100.0,50.67,59.3,97.12,2028,,,,,,
1202,BNB,0.3968,220,0.655,100.0,50.67,81.32,77.71,37,22.0,1.0,15.0,8.0,431.0,477.0
1202,FFD,0.0077,1389,0.086,100.0,8.03,9.47,645.94,115,,,,,,
1202,RANDOM,0.019,723,0.188,100.0,15.42,28.98,283.21,187,,,,,,
1203,BFD,0.3177,266,0.711,100.0,56.93,81.91,99.82,2160,,,,,,
1203,BNB,1.4186,266,0.712,100.0,56.93,81.91,99.71,175,70.0,19.0,77.0,168.0,2548.0,2882.0
1203,FFD,0.0136,1395,0.128,100.0,10.86,15.43,571.04,215,,,,,,
1203,RANDOM,0.0193,864,0.233,100.0,17.53,35.95,289.72,174,,,,,,
1204,BFD,0.1989,213,0.715,100.0,58.81,78.0,83.52,858,,,,,,
1204,BNB,0.9735,213,0.718,100.0,58.81,78.0,82.96,164,76.0,15.0,55.0,131.0,1941.0,2218.0
1204,FFD,0.0112,1260,0.102,100.0,9.94,10.82,611.56,123,,,,,,
1204,RANDOM,0.0229,511,0.303,100.0,24.52,55.71,195.14,187,,,,,,
1205,BFD,0.2097,220,0.762,100.0,70.63,76.67,101.28,2202,,,,,,
1205,BNB,0.5031,220,0.762,100.0,70.63,76.67,101.28,38,17.0,6.0,17.0,15.0,522.0,577.0
1205,FFD,0.0057,1350,0.127,100.0,11.51,14.71,602.71,130,,,,,,
1205,RANDOM,0.0143,740,0.294,100.0,21.0,55.5,222.18,177,,,,,,
1206,BFD,0.2811,280,0.737,100.0,59.87,80.08,107.62,1758,,,,,,
1206,BNB,0.6257,220,0.815,100.0,76.19,84.67,102.28,79,33.0,9.0,32.0,24.0,1016.0,1114.0
1206,FFD,0.0068,1356,0.134,100.0,12.36,14.71,620.55,111,,,,,,
1206,RANDOM,0.0361,1093,0.196,100.0,15.34,38.71,393.97,346,,,,,,
1207,BFD,0.2636,210,0.774,100.0,69.32,80.37,92.74,1722,,,,,,
1207,BNB,2.0443,210,0.774,100.0,69.32,80.37,92.74,372,175.0,41.0,117.0,271.0,6114.0,6718.0
1207,FFD,0.0103,1390,0.119,100.0,10.47,14.95,599.2,143,,,,,,
1207,RANDOM,0.0153,673,0.258,100.0,21.63,30.23,272.29,120,,,,,,
1208,BFD,0.2843,215,0.731,100.0,70.11,73.08,102.89,1716,,,,,,
1208,BNB,2.4035,210,0.798,100.0,71.78,82.83,93.24,482,240.0,80.0,121.0,187.0,6312.0,6940.0
1208,FFD,0.0097,1365,0.115,100.0,11.04,12.2,652.93,147,,,,,,
1208,RANDOM,0.0364,823,0.204,100.0,18.32,26.28,365.65,338,,,,,,
1209,BFD,0.3368,220,0.654,100.0,57.29,69.38,94.36,2280,,,,,,
1209,BNB,0.5211,220,0.716,100.0,57.29,79.13,82.51,53,29.0,4.0,20.0,17.0,523.0,593.0
1209,FFD,0.014,1395,0.103,100.0,9.03,11.81,601.88,244,,,,,,
1209,RANDOM,0.0253,693,0.243,100.0,18.19,46.26,229.22,210,,,,,,
1210,BFD,0.244,200,0.609,100.0,54.95,65.46,89.11,1572,,,,,,
1210,BNB,0.4263,200,0.669,100.0,54.95,75.21,78.28,47,26.0,1.0,13.0,35.0,630.0,705.0
1210,FFD,0.0119,1365,0.088,100.0,8.05,9.3,617.19,202,,,,,,
1210,RANDOM,0.0248,1065,0.115,100.0,10.32,22.01,473.74,221,,,,,,
1211,BFD,0.2678,200,0.716,100.0,62.33,78.33,85.19,1578,,,,,,
1211,BNB,0.3761,200,0.74,100.0,62.33,78.33,81.26,35,21.0,0.0,14.0,11.0,398.0,444.0
1211,FFD,0.0129,1365,0.109,100.0,9.13,13.72,548.78,183,,,,,,
1211,RANDOM,0.0204,603,0.227,100.0,20.67,39.05,271.74,174,,,,,,
