order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
2800,BFD,1.2394,460,0.854,100.0,69.15,95.41,176.02,12318,,,,,,
2800,BNB,842.2159,410,0.874,100.0,77.59,91.49,179.06,55965,2212.0,764.0,15900.0,193020.0,2701343.0,2913239.0
2800,FFD,0.0387,1395,0.239,100.0,22.8,24.23,662.91,845,,,,,,
2800,RANDOM,0.8238,1400,0.219,82.14,19.18,34.52,600.95,11014,,,,,,
2801,BFD,1.3366,428,0.81,100.0,69.74,88.22,179.5,12306,,,,,,
2801,BNB,2640.0735,373,0.908,100.0,80.02,94.91,161.43,227008,91989.0,9122.0,34471.0,367916.0,6191909.0,6695407.0
2801,FFD,0.0464,1380,0.246,100.0,21.63,27.37,594.9,854,,,,,,
2801,RANDOM,0.4202,1374,0.253,92.86,19.83,41.62,496.59,5315,,,,,,
2802,BFD,1.1857,480,0.875,100.0,75.32,93.18,201.16,13290,,,,,,
2802,BNB,2.5343,0,0.0,0.0,,0.0,-1.0,130,0.0,1.0,58.0,462.0,3259.0,3780.0
2802,FFD,0.0359,1395,0.279,100.0,25.92,29.69,643.91,798,,,,,,
2802,RANDOM,1.5349,1400,0.215,67.86,16.91,36.16,510.62,19493,,,,,,
2803,BFD,1.2273,640,0.798,100.0,62.21,92.71,229.48,7158,,,,,,
2803,BNB,4.2279,0,0.0,0.0,,0.0,-1.0,213,0.0,0.0,77.0,780.0,7938.0,8795.0
2803,FFD,0.032,1400,0.311,100.0,28.44,32.91,634.32,666,,,,,,
2803,RANDOM,0.9755,1330,0.289,78.57,21.63,44.38,441.93,12915,,,,,,
2804,BFD,1.6855,466,0.891,100.0,78.15,94.84,200.38,13980,,,,,,
2804,BNB,1827.8013,443,0.895,100.0,82.21,91.46,201.95,169410,64192.0,16538.0,47169.0,226746.0,4490257.0,4844902.0
2804,FFD,0.0394,1395,0.279,100.0,26.11,28.69,648.34,1013,,,,,,
2804,RANDOM,1.4405,1400,0.22,67.86,17.61,35.09,524.51,19416,,,,,,
