order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
3800,BFD,3.7901,420,0.866,100.0,74.16,96.49,174.76,41400,,,,,,
3800,BNB,17273.5473,360,0.913,100.0,86.51,93.3,170.03,1258353,349503.0,43447.0,410496.0,2658051.0,62851778.0,66313275.0
3800,FFD,0.1453,1375,0.248,100.0,22.65,25.41,620.98,3592,,,,,,
3800,RANDOM,0.5934,1400,0.263,94.74,21.13,48.19,529.16,7005,,,,,,
3801,BFD,4.3862,660,0.803,100.0,69.15,87.88,276.59,39690,,,,,,
3801,BNB,89107.4043,560,0.873,100.0,81.49,91.24,259.89,8169218,1404163.0,224560.0,2122824.0,22410348.0,360892498.0,387054393.0
3801,FFD,0.1019,1370,0.357,100.0,33.31,38.26,635.98,2286,,,,,,
3801,RANDOM,1.3824,1390,0.332,78.95,28.34,39.27,576.29,17343,,,,,,
3802,BFD,4.3941,540,0.84,100.0,71.38,94.26,222.09,32856,,,,,,
3802,BNB,39423.9482,495,0.861,100.0,77.87,92.47,221.24,3348007,904056.0,65966.0,581435.0,7960413.0,107272644.0,116784514.0
3802,FFD,0.0413,1371,0.297,100.0,28.12,29.94,647.23,1339,,,,,,
3802,RANDOM,0.1157,1395,0.337,100.0,27.63,58.75,545.48,2615,,,,,,
3803,BFD,3.3646,410,0.836,100.0,68.87,93.65,161.02,40068,,,,,,
3803,BNB,35252.1187,330,0.909,100.0,85.56,93.41,154.63,3126517,456463.0,31428.0,699809.0,9366674.0,206054062.0,216608436.0
3803,FFD,0.0371,1390,0.218,100.0,20.31,23.08,644.29,1728,,,,,,
3803,RANDOM,0.0703,1383,0.255,100.0,20.42,52.13,519.66,1109,,,,,,
3804,BFD,2.7487,533,0.901,100.0,81.24,93.52,237.27,24462,,,,,,
3804,BNB,38.7727,490,0.935,100.0,88.37,95.64,230.65,3073,668.0,199.0,1301.0,6611.0,130193.0,138972.0
3804,FFD,0.0537,1400,0.339,100.0,30.93,35.21,633.26,1308,,,,,,
3804,RANDOM,1.1557,1400,0.3,78.95,25.72,45.91,583.76,19418,,,,,,
3805,BFD,2.2922,500,0.881,100.0,78.37,93.71,219.09,21852,,,,,,
3805,BNB,19588.9185,465,0.913,100.0,84.27,94.76,213.07,1642375,674321.0,74617.0,364102.0,2460683.0,42962227.0,46535950.0
3805,FFD,0.0751,1399,0.309,100.0,28.01,33.0,627.3,1847,,,,,,
3805,RANDOM,4.2296,570,0.3,44.74,23.06,51.1,199.69,42137,,,,,,
3806,BFD,3.4851,620,0.869,100.0,77.52,90.73,272.3,30990,,,,,,
3806,BNB,271.7917,535,0.928,100.0,89.84,94.6,258.6,26979,10397.0,1284.0,8953.0,40493.0,1309759.0,1370886.0
3806,FFD,0.0561,1400,0.374,100.0,34.33,38.56,636.84,1584,,,,,,
3806,RANDOM,4.3064,412,0.241,39.47,19.32,36.79,155.46,46129,,,,,,
3807,BFD,1.561,585,0.902,100.0,78.01,95.15,246.83,18750,,,,,,
3807,BNB,3801.5707,563,0.902,100.0,81.05,96.04,249.85,227602,3627.0,339.0,38774.0,851794.0,8433372.0,9327906.0
3807,FFD,0.0549,1393,0.347,100.0,32.76,35.78,655.86,1164,,,,,,
3807,RANDOM,0.9214,1380,0.281,76.32,24.61,38.38,591.09,20349,,,,,,
3808,BFD,4.5574,446,0.9,100.0,77.65,97.5,187.46,27198,,,,,,
3808,BNB,76.6014,432,0.878,100.0,80.17,92.9,195.52,5441,1466.0,218.0,1075.0,12264.0,316051.0,331074.0
3808,FFD,0.0695,1400,0.272,100.0,24.74,28.25,630.07,1688,,,,,,
3808,RANDOM,2.8745,634,0.244,63.16,18.03,36.79,204.24,28191,,,,,,
3809,BFD,4.4597,593,0.856,100.0,71.58,92.14,238.37,40026,,,,,,
3809,BNB,21728.5039,505,0.914,100.0,84.06,94.26,230.56,1321724,300895.0,65881.0,326931.0,3125985.0,53595824.0,57415516.0
3809,FFD,0.1207,1400,0.332,100.0,30.32,35.61,634.47,2919,,,,,,
3809,RANDOM,3.8856,922,0.208,52.63,16.33,37.04,333.81,36406,,,,,,
3810,BFD,1.6168,613,0.93,100.0,83.87,96.1,273.12,8526,,,,,,
3810,BNB,8553.5682,588,0.925,100.0,87.44,94.45,276.89,524205,92975.0,8622.0,73748.0,1514957.0,17978254.0,19668556.0
3810,FFD,0.0871,1395,0.394,100.0,36.86,40.93,649.09,2129,,,,,,
3810,RANDOM,0.781,1400,0.336,84.21,31.17,43.32,644.45,15475,,,,,,
3811,BFD,4.3683,460,0.9,100.0,80.83,94.46,203.88,38328,,,,,,
3811,BNB,3084.6862,430,0.934,100.0,86.47,94.94,197.8,285282,99969.0,24963.0,82636.0,433747.0,8810246.0,9451561.0
3811,FFD,0.0579,1400,0.279,100.0,26.56,28.77,663.9,1504,,,,,,
3811,RANDOM,1.2171,1400,0.262,81.58,20.35,42.05,497.93,14786,,,,,,
3812,BFD,3.1851,670,0.863,100.0,74.85,90.11,283.93,30978,,,,,,
3812,BNB,1025.6934,608,0.891,100.0,82.49,92.34,279.47,59256,11628.0,1720.0,11762.0,158422.0,2068230.0,2251762.0
3812,FFD,0.0808,1400,0.388,100.0,35.82,39.71,641.85,1969,,,,,,
3812,RANDOM,2.7331,1385,0.24,52.63,18.72,44.38,496.35,36613,,,,,,
3813,BFD,4.536,446,0.874,100.0,75.61,95.46,188.35,36528,,,,,,
