order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
1300,BFD,0.3241,220,0.508,100.0,44.81,57.08,95.34,1806,,,,,,
1300,BNB,0.49,220,0.566,100.0,44.81,63.48,81.0,35,17.0,0.0,20.0,20.0,577.0,634.0
1300,FFD,0.0161,1371,0.081,100.0,7.19,10.19,594.11,275,,,,,,
1300,RANDOM,0.0145,425,0.301,100.0,23.2,45.1,149.16,119,,,,,,
1301,BFD,0.3379,266,0.717,100.0,62.07,76.19,112.28,2310,,,,,,
1301,BNB,1.897,266,0.721,100.0,62.07,85.83,111.42,208,60.0,20.0,109.0,303.0,4098.0,4590.0
1301,FFD,0.0114,1390,0.138,100.0,11.88,15.14,580.44,131,,,,,,
1301,RANDOM,0.025,995,0.216,100.0,16.59,32.9,347.19,208,,,,,,
1302,BFD,0.4764,300,0.739,100.0,59.89,79.95,114.8,2514,,,,,,
1302,BNB,2.0731,255,0.799,100.0,70.46,83.83,110.33,185,42.0,7.0,96.0,379.0,5439.0,5963.0
1302,FFD,0.0103,1400,0.129,100.0,12.83,13.71,693.71,196,,,,,,
1302,RANDOM,0.0504,1193,0.189,100.0,15.06,31.87,442.9,196,,,,,,
1303,BFD,0.3579,220,0.711,100.0,65.87,72.16,101.21,2610,,,,,,
1303,BNB,0.4932,220,0.755,100.0,65.87,85.26,93.86,40,23.0,2.0,15.0,10.0,431.0,481.0
1303,FFD,0.0123,1365,0.117,100.0,10.62,11.81,611.45,196,,,,,,
1303,RANDOM,0.0307,1058,0.168,100.0,13.7,32.33,408.36,286,,,,,,
1304,BFD,0.3861,220,0.59,100.0,54.46,63.22,100.92,2862,,,,,,
1304,BNB,0.5313,220,0.678,100.0,54.46,75.75,83.09,38,24.0,1.0,19.0,8.0,482.0,534.0
