order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
3000,BFD,1.0922,535,0.891,100.0,79.83,93.76,236.35,7320,,,,,,
3000,BNB,2.4154,0,0.0,0.0,,0.0,-1.0,130,0.0,0.0,58.0,467.0,3278.0,3803.0
3000,FFD,0.0448,1375,0.319,100.0,31.06,32.42,669.27,1056,,,,,,
3000,RANDOM,0.8782,1400,0.271,76.67,24.34,33.49,620.99,14868,,,,,,
3001,BFD,1.5933,433,0.792,100.0,66.98,90.33,177.0,15234,,,,,,
3001,BNB,2122.602,346,0.911,100.0,83.82,93.49,157.91,162064,22744.0,2989.0,31788.0,487773.0,6491508.0,7036802.0
3001,FFD,0.0483,1400,0.234,100.0,20.72,25.46,610.07,1048,,,,,,
3001,RANDOM,0.0921,1346,0.266,100.0,21.55,48.96,515.89,838,,,,,,
3002,BFD,1.7587,395,0.84,100.0,70.67,90.98,160.31,17184,,,,,,
3002,BNB,1473.1395,330,0.915,100.0,84.59,92.88,151.62,122238,17149.0,3973.0,17427.0,365875.0,4967257.0,5371681.0
3002,FFD,0.0543,1375,0.231,100.0,20.3,25.15,593.08,1214,,,,,,
3002,RANDOM,0.4944,1350,0.197,86.67,18.0,26.28,609.22,8674,,,,,,
3003,BFD,1.8253,460,0.872,100.0,70.45,97.33,175.36,11310,,,,,,
3003,BNB,1606.8511,400,0.895,100.0,81.02,96.04,179.11,107192,4292.0,1400.0,36938.0,363355.0,5528777.0,5934762.0
3003,FFD,0.0662,1390,0.257,100.0,23.31,26.56,623.34,1408,,,,,,
3003,RANDOM,0.064,1390,0.291,100.0,23.31,49.73,523.97,726,,,,,,
3004,BFD,1.8204,500,0.889,100.0,78.41,92.94,216.46,17076,,,,,,
3004,BNB,2030.531,465,0.927,100.0,84.31,95.12,209.36,140787,31553.0,5270.0,49672.0,329296.0,4350153.0,4765944.0
3004,FFD,0.0453,1400,0.305,100.0,28.0,33.29,638.39,955,,,,,,
3004,RANDOM,2.2461,1360,0.188,56.67,15.27,25.5,523.61,27006,,,,,,
3005,BFD,1.7363,480,0.83,100.0,72.85,89.57,206.63,18894,,,,,,
3005,BNB,1965.1569,430,0.904,100.0,81.33,95.18,191.04,125404,15491.0,4916.0,28792.0,370734.0,5745921.0,6165854.0
3005,FFD,0.0563,1380,0.279,100.0,25.34,29.44,621.32,1413,,,,,,
3005,RANDOM,0.1445,1353,0.278,100.0,25.85,32.57,624.39,1678,,,,,,
3006,BFD,1.637,500,0.821,100.0,69.81,92.0,205.94,18570,,,,,,
3006,BNB,10486.3776,430,0.874,100.0,81.17,89.41,198.41,748558,107635.0,18245.0,157714.0,2207018.0,32503423.0,34994035.0
3006,FFD,0.0436,1385,0.282,100.0,25.2,29.58,609.73,968,,,,,,
3006,RANDOM,0.0911,1375,0.292,100.0,25.38,33.49,585.24,1207,,,,,,
3007,BFD,2.3252,515,0.863,100.0,73.0,93.7,210.4,18816,,,,,,
3007,BNB,5.2863,0,0.0,0.0,,0.0,-1.0,271,0.0,0.0,195.0,894.0,10463.0,11552.0
3007,FFD,0.0506,1375,0.295,100.0,27.34,30.53,633.1,1303,,,,,,
3007,RANDOM,0.5812,1400,0.29,90.0,23.56,44.38,538.78,6903,,,,,,
3008,BFD,1.825,460,0.88,100.0,76.12,94.01,194.23,17772,,,,,,
3008,BNB,742.3048,400,0.936,100.0,87.54,95.24,186.24,83488,35908.0,6116.0,19171.0,104616.0,2084105.0,2249916.0
3008,FFD,0.0594,1400,0.281,100.0,25.01,31.11,613.46,1107,,,,,,
3008,RANDOM,0.1819,1400,0.293,100.0,25.01,52.96,579.56,2049,,,,,,
3009,BFD,2.0849,420,0.846,100.0,69.57,97.29,164.71,20334,,,,,,
3009,BNB,931.465,330,0.936,100.0,88.54,94.72,155.54,92113,33283.0,5455.0,30390.0,144287.0,3972505.0,4185920.0
3009,FFD,0.0445,1400,0.226,100.0,20.87,24.44,640.5,966,,,,,,
3009,RANDOM,0.9609,1400,0.209,83.33,16.5,34.85,512.33,10799,,,,,,
3010,BFD,2.0226,493,0.862,100.0,71.46,96.72,195.63,12810,,,,,,
3010,BNB,2759.6238,430,0.902,100.0,81.93,94.5,193.22,199999,42206.0,6012.0,44562.0,514284.0,5792914.0,6399978.0
3010,FFD,0.0484,1365,0.283,100.0,25.81,29.11,617.23,830,,,,,,
3010,RANDOM,1.9124,1395,0.218,66.67,16.7,36.16,483.74,21600,,,,,,
3011,BFD,1.3188,480,0.881,100.0,74.01,93.55,194.3,8166,,,,,,
3011,BNB,646.3592,0,0.0,0.0,,0.0,-1.0,36002,2263.0,101.0,6275.0,125918.0,1285092.0,1419649.0
3011,FFD,0.0447,1393,0.28,100.0,25.5,32.18,627.33,907,,,,,,
3011,RANDOM,3.8025,600,0.21,36.67,16.93,32.46,228.6,38095,,,,,,
3012,BFD,1.9154,324,0.858,100.0,75.2,90.62,139.09,20292,,,,,,
3012,BNB,10923.6247,282,0.922,100.0,86.4,93.62,131.62,1028784,271296.0,17090.0,188058.0,2485043.0,52839493.0,55800980.0
3012,FFD,0.0477,1396,0.184,100.0,17.45,18.67,661.15,1587,,,,,,
3012,RANDOM,0.1778,1221,0.261,100.0,19.96,40.41,423.75,1812,,,,,,
3013,BFD,1.887,410,0.852,100.0,73.8,92.98,173.43,17166,,,,,,
3013,BNB,557.5484,390,0.887,100.0,77.58,93.43,167.07,39876,2126.0,242.0,10936.0,136653.0,1844805.0,1994762.0
3013,FFD,0.0474,1399,0.23,100.0,21.63,24.57,656.5,964,,,,,,
3013,RANDOM,1.8108,1154,0.168,70.0,13.55,24.53,437.91,18440,,,,,,
3014,BFD,1.8381,500,0.795,100.0,65.07,94.41,194.7,26190,,,,,,
3014,BNB,8708.4925,392,0.917,100.0,82.99,95.24,175.44,596671,76391.0,10574.0,138366.0,1813393.0,25223245.0,27261969.0
