order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
1500,BFD,0.4967,260,0.781,100.0,64.6,85.98,102.77,4668,,,,,,
1500,BNB,4.5108,260,0.777,100.0,64.6,83.63,103.63,701,297.0,91.0,278.0,566.0,13081.0,14313.0
1500,FFD,0.0124,1385,0.129,100.0,12.13,14.22,646.51,249,,,,,,
1500,RANDOM,0.0335,1235,0.18,100.0,13.6,39.3,419.7,338,,,,,,
1501,BFD,0.2995,266,0.802,100.0,68.01,88.06,109.25,1866,,,,,,
1501,BNB,0.7912,266,0.768,100.0,68.01,81.48,115.86,106,50.0,10.0,36.0,88.0,1334.0,1518.0
1501,FFD,0.0143,1365,0.149,100.0,13.25,16.13,599.78,281,,,,,,
1501,RANDOM,0.1737,1273,0.157,93.33,13.19,28.98,516.9,2364,,,,,,
1502,BFD,0.3966,280,0.765,100.0,70.41,79.99,127.83,2766,,,,,,
1502,BNB,6.9835,280,0.775,100.0,70.41,79.19,125.96,1091,407.0,238.0,466.0,658.0,19385.0,21154.0
1502,FFD,0.011,1390,0.157,100.0,14.18,16.43,621.47,180,,,,,,
1502,RANDOM,0.0272,840,0.296,100.0,23.47,42.65,310.2,251,,,,,,
1503,BFD,0.4185,280,0.792,100.0,65.43,84.16,110.47,2244,,,,,,
1503,BNB,1.6226,266,0.801,100.0,68.87,83.35,111.23,223,97.0,23.0,86.0,191.0,3722.0,4119.0
1503,FFD,0.0112,1370,0.144,100.0,13.37,14.71,631.98,165,,,,,,
1503,RANDOM,0.0367,1119,0.213,100.0,16.37,42.67,392.29,333,,,,,,
1504,BFD,0.6208,260,0.754,100.0,60.36,84.96,97.62,4704,,,,,,
1504,BNB,2.0353,220,0.822,100.0,71.33,86.09,93.27,236,112.0,20.0,81.0,153.0,4137.0,4503.0
1504,FFD,0.0164,1371,0.125,100.0,11.45,12.9,621.09,266,,,,,,
1504,RANDOM,1.288,254,0.27,60.0,23.02,31.74,104.85,12188,,,,,,
1505,BFD,0.5343,260,0.777,100.0,63.99,84.96,102.05,4092,,,,,,
1505,BNB,2.9425,260,0.79,100.0,63.99,86.09,99.51,404,181.0,53.0,148.0,283.0,6126.0,6791.0
1505,FFD,0.0117,1371,0.134,100.0,12.13,14.22,611.32,242,,,,,,
1505,RANDOM,0.0646,1375,0.149,100.0,12.1,28.71,526.24,877,,,,,,
1506,BFD,0.4058,220,0.814,100.0,73.58,84.28,98.34,3012,,,,,,
1506,BNB,0.657,220,0.823,100.0,73.58,84.28,97.01,50,22.0,2.0,25.0,50.0,913.0,1012.0
1506,FFD,0.0159,1400,0.129,100.0,11.56,14.97,620.5,277,,,,,,
1506,RANDOM,0.0292,595,0.344,100.0,27.21,42.73,218.43,244,,,,,,
1507,BFD,0.3869,300,0.827,100.0,68.76,88.39,119.53,2508,,,,,,
1507,BNB,23.6396,280,0.821,100.0,73.67,85.13,124.03,3656,1570.0,592.0,1084.0,2730.0,59842.0,65818.0
1507,FFD,0.0163,1365,0.175,100.0,15.11,20.93,575.1,231,,,,,,
1507,RANDOM,0.0309,946,0.302,100.0,21.81,52.4,290.01,252,,,,,,
1508,BFD,0.4894,263,0.817,100.0,69.78,86.89,108.97,3414,,,,,,
1508,BNB,2.3166,260,0.834,100.0,70.58,88.83,106.42,316,142.0,33.0,128.0,226.0,5514.0,6043.0
1508,FFD,0.0139,1399,0.152,100.0,13.12,18.74,590.65,248,,,,,,
1508,RANDOM,0.0768,1013,0.239,100.0,18.12,35.33,344.44,692,,,,,,
1509,BFD,0.4762,220,0.717,100.0,65.98,76.08,100.39,3588,,,,,,
1509,BNB,0.6312,220,0.776,100.0,65.98,83.04,90.67,39,21.0,2.0,16.0,20.0,540.0,599.0
1509,FFD,0.0169,1395,0.114,100.0,10.41,12.22,630.68,353,,,,,,
1509,RANDOM,0.0332,885,0.217,100.0,16.4,32.57,298.67,331,,,,,,
1510,BFD,0.4778,268,0.746,100.0,61.95,81.56,106.58,3582,,,,,,
1510,BNB,2.0563,260,0.787,100.0,63.86,85.13,99.88,228,80.0,21.0,130.0,272.0,4478.0,4981.0
1510,FFD,0.0111,1390,0.128,100.0,11.94,13.38,643.54,233,,,,,,
1510,RANDOM,0.1364,1283,0.161,100.0,12.94,40.98,484.99,1281,,,,,,
1511,BFD,0.4005,260,0.796,100.0,61.75,93.32,92.4,3042,,,,,,
1511,BNB,2.3826,260,0.755,100.0,61.75,83.2,101.1,437,214.0,55.0,116.0,277.0,6709.0,7371.0
