order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
1900,BFD,0.7071,335,0.864,100.0,70.8,95.84,130.57,4578,,,,,,
1900,BNB,3.7444,330,0.827,100.0,71.88,86.94,140.2,306,55.0,9.0,168.0,721.0,7597.0,8550.0
1900,FFD,0.0147,1380,0.191,100.0,17.19,21.91,612.25,273,,,,,,
1900,RANDOM,0.0358,1195,0.245,100.0,19.85,36.03,458.52,352,,,,,,
1901,BFD,0.6293,280,0.804,100.0,70.9,84.7,121.21,6294,,,,,,
1901,BNB,12.803,265,0.828,100.0,74.91,85.77,118.47,1706,558.0,90.0,328.0,3251.0,45389.0,49616.0
1901,FFD,0.0215,1365,0.166,100.0,14.54,17.19,585.27,406,,,,,,
1901,RANDOM,0.0249,920,0.281,100.0,21.58,35.62,321.22,232,,,,,,
1902,BFD,0.6582,220,0.728,100.0,68.61,73.56,103.21,6252,,,,,,
1902,BNB,0.9103,220,0.765,100.0,68.61,79.69,97.27,59,35.0,1.0,16.0,35.0,920.0,1007.0
1902,FFD,0.0336,1395,0.13,100.0,10.82,16.07,554.43,703,,,,,,
1902,RANDOM,0.0473,1261,0.152,100.0,11.97,28.71,462.85,432,,,,,,
1903,BFD,0.7239,330,0.837,100.0,70.93,89.36,135.3,7416,,,,,,
1903,BNB,15.6652,300,0.891,100.0,78.02,92.65,128.68,2328,1115.0,278.0,976.0,1351.0,35698.0,39418.0
1903,FFD,0.0203,1365,0.185,100.0,17.15,19.74,626.67,385,,,,,,
1903,RANDOM,0.4176,1348,0.192,89.47,15.44,34.6,508.94,5146,,,,,,
1904,BFD,0.6533,260,0.871,100.0,73.72,91.18,106.48,5862,,,,,,
1904,BNB,3.6926,260,0.814,100.0,73.72,83.85,116.48,477,186.0,34.0,131.0,672.0,10850.0,11873.0
1904,FFD,0.0202,1390,0.147,100.0,13.79,15.94,648.61,380,,,,,,
1904,RANDOM,0.0274,990,0.259,100.0,19.36,49.13,327.55,246,,,,,,
1905,BFD,0.7832,280,0.803,100.0,69.04,86.57,117.26,7734,,,,,,
1905,BNB,15.8422,263,0.831,100.0,73.51,87.64,114.41,1868,578.0,95.0,473.0,3629.0,50649.0,55424.0
1905,FFD,0.0195,1375,0.151,100.0,14.06,15.65,636.52,448,,,,,,
1905,RANDOM,0.0415,1339,0.183,100.0,14.44,29.55,488.36,423,,,,,,
1906,BFD,0.623,280,0.812,100.0,74.73,83.19,127.89,4686,,,,,,
1906,BNB,4.7313,270,0.867,100.0,77.5,88.85,119.04,814,399.0,147.0,272.0,249.0,10408.0,11475.0
1906,FFD,0.0213,1400,0.166,100.0,14.95,18.7,623.48,360,,,,,,
1906,RANDOM,0.0489,1108,0.221,100.0,18.88,32.33,459.09,487,,,,,,
1907,BFD,0.6465,330,0.812,100.0,68.54,86.88,134.5,5244,,,,,,
1907,BNB,22.4691,300,0.875,100.0,75.39,91.14,126.0,3161,1196.0,278.0,815.0,4434.0,70020.0,76743.0
1907,FFD,0.0163,1390,0.18,100.0,16.27,18.74,620.68,271,,,,,,
1907,RANDOM,0.0379,939,0.282,100.0,24.09,32.9,388.64,402,,,,,,
1908,BFD,0.7918,260,0.828,100.0,65.87,94.55,96.61,7830,,,,,,
1908,BNB,3.9393,260,0.815,100.0,65.87,88.99,99.11,600,304.0,79.0,206.0,279.0,8308.0,9176.0
1908,FFD,0.025,1380,0.141,100.0,12.41,16.54,598.25,466,,,,,,
1908,RANDOM,0.0407,733,0.283,100.0,23.36,38.71,288.94,366,,,,,,
1909,BFD,0.8544,260,0.726,100.0,54.98,88.81,88.22,7926,,,,,,
1909,BNB,4.1607,260,0.718,100.0,54.98,82.98,90.26,556,238.0,47.0,194.0,605.0,11067.0,12151.0
1909,FFD,0.0245,1371,0.123,100.0,10.43,14.65,560.54,504,,,,,,
1909,RANDOM,0.0405,716,0.269,100.0,19.96,48.72,233.88,400,,,,,,
1910,BFD,0.7895,330,0.79,100.0,65.43,86.41,130.78,6990,,,,,,
1910,BNB,150.3448,300,0.842,100.0,71.97,88.75,124.47,15141,2685.0,555.0,2910.0,41434.0,527154.0,574738.0
1910,FFD,0.0261,1390,0.182,100.0,15.53,20.24,577.29,398,,,,,,
1910,RANDOM,0.0253,990,0.291,100.0,21.81,49.7,330.0,232,,,,,,
1911,BFD,0.6367,200,0.609,100.0,55.52,63.0,90.33,5286,,,,,,
1911,BNB,4.2244,200,0.72,100.0,55.52,82.5,70.39,380,65.0,5.0,176.0,994.0,17634.0,18874.0
1911,FFD,0.0345,1385,0.093,100.0,8.02,9.89,577.7,655,,,,,,
1911,RANDOM,0.0242,623,0.229,100.0,17.82,42.67,221.99,207,,,,,,
1912,BFD,0.5855,333,0.851,100.0,76.51,88.69,147.76,5322,,,,,,
1912,BNB,118.3028,310,0.907,100.0,82.19,93.2,138.9,13527,5258.0,967.0,4443.0,18490.0,264642.0,293800.0
1912,FFD,0.0244,1365,0.213,100.0,18.67,22.63,587.76,405,,,,,,
1912,RANDOM,0.9203,1350,0.158,68.42,13.11,35.09,535.72,12541,,,,,,
1913,BFD,0.6891,280,0.821,100.0,71.93,88.44,120.24,5730,,,,,,
1913,BNB,17.5708,268,0.85,100.0,75.16,88.77,116.53,1777,429.0,285.0,793.0,2705.0,50731.0,54943.0
1913,FFD,0.0278,1399,0.165,100.0,14.4,18.4,598.14,509,,,,,,
1913,RANDOM,0.0403,943,0.272,100.0,21.36,49.64,341.82,353,,,,,,
1914,BFD,0.6851,260,0.858,100.0,73.12,89.26,107.45,6180,,,,,,
1914,BNB,2.1163,230,0.889,100.0,82.65,89.85,106.31,260,115.0,21.0,99.0,246.0,5951.0,6432.0
1914,FFD,0.0221,1400,0.148,100.0,13.58,15.41,636.59,404,,,,,,
1914,RANDOM,0.0192,510,0.434,100.0,37.28,52.48,213.34,160,,,,,,
1915,BFD,0.7131,200,0.774,100.0,72.08,78.89,92.59,5106,,,,,,
1915,BNB,1.1159,200,0.786,100.0,72.08,82.5,90.93,64,36.0,1.0,22.0,49.0,1257.0,1365.0
